,Player,Nation,Pos,Squad,Age,90s_played,Total_Tackle,Tackle_Won,Def3rd_Tackle,Mid3rd_Tackle,Att3rd_Tackle,Dribblers_Attemp_Tackle,Dribblers_Tackle_Won,Ball_Blocked,Shot_Blocked,Pass_Blocked,Intercept,Tackle_Intercept,Clearances,Eror
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,26.4,45,18,16,22,7,46,15,43,3,40,5,50,6,1
1,George Abbott,eng ENG,MF,Tottenham,16,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,Che Adams,sct SCO,FW,Southampton,26,22.1,17,13,7,8,2,12,7,13,4,9,4,21,22,0
3,Tyler Adams,us USA,MF,Leeds United,23,24.0,89,46,44,35,10,77,50,48,8,40,35,124,29,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,23.2,30,13,22,6,2,23,16,20,15,5,26,56,140,1
5,Nayef Aguerd,ma MAR,DF,West Ham,26,17.7,27,18,18,8,1,20,13,26,24,2,18,45,79,2
6,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,1.0,3,2,3,0,0,3,1,2,0,2,0,3,0,0
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21,12.0,33,20,25,7,1,15,9,3,0,3,9,42,28,0
8,Kristoffer Ajer,no NOR,DF,Brentford,24,8.5,11,8,5,4,2,16,9,6,5,1,7,18,22,0
9,Manuel Akanji,ch SUI,DF,Manchester City,27,25.4,36,25,15,18,3,36,23,27,9,18,16,52,33,1
10,Nathan Aké,nl NED,DF,Manchester City,27,20.8,26,12,15,9,2,15,11,20,10,10,20,46,48,0
11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,2.6,4,1,0,2,2,8,1,6,2,4,1,5,5,0
12,Thiago Alcántara,es ESP,MF,Liverpool,31,13.9,43,24,20,21,2,23,14,15,3,12,21,64,13,2
13,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,11.4,10,5,2,7,1,22,6,14,5,9,1,11,11,0
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,32.5,57,40,32,16,9,79,42,25,7,18,43,100,41,2
15,Alisson,br BRA,GK,Liverpool,29,37.0,0,0,0,0,0,3,0,3,0,3,0,0,20,0
16,Dele Alli,eng ENG,MF,Everton,26,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28,27.7,46,30,16,19,11,42,18,25,2,23,10,56,17,0
18,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,16.3,26,16,3,13,10,30,9,13,0,13,2,28,6,0
19,Daniel Amartey,gh GHA,DF,Leicester City,27,17.9,19,8,13,5,1,14,12,24,17,7,8,27,71,0
20,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Joachim Andersen,dk DEN,DF,Crystal Palace,26,30.9,42,22,30,12,0,32,16,28,13,15,24,66,188,1
22,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,4.6,11,5,5,3,3,12,6,11,2,9,6,17,2,0
23,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,14.0,30,17,15,9,6,24,8,30,3,27,10,40,19,0
24,Michail Antonio,jm JAM,FW,West Ham,32,20.3,14,7,1,8,5,12,3,13,5,8,5,19,9,0
25,Antony,br BRA,FW,Manchester Utd,22,20.0,22,9,9,9,4,28,8,18,0,18,11,33,6,0
26,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Alphonse Areola,fr FRA,GK,West Ham,29,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Joe Aribo,ng NGA,"MF,FW",Southampton,26,13.6,31,20,15,12,4,20,11,14,1,13,10,41,11,0
29,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,14.8,14,9,6,5,3,10,3,15,3,12,5,19,6,0
30,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,15.6,32,21,15,13,4,39,14,18,0,18,10,42,9,2
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,28.5,2,2,2,0,0,3,2,0,0,0,1,3,16,2
32,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,6.2,1,0,1,0,0,1,0,2,0,2,2,3,4,2
33,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,0.9,1,1,1,0,0,0,0,0,0,0,0,1,1,0
34,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,21.6,64,41,41,18,5,33,23,34,11,23,29,93,75,0
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,15.6,17,10,2,10,5,10,6,18,4,14,4,21,20,0
36,Yasin Ayari,se SWE,MF,Brighton,18,0.7,2,2,1,1,0,4,0,1,0,1,0,2,0,0
37,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,3.5,5,3,0,4,1,4,2,6,1,5,0,5,7,0
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,30.2,66,41,23,20,23,53,21,35,4,31,15,81,31,0
39,Luke Ayling,eng ENG,DF,Leeds United,30,22.8,66,37,42,15,9,85,42,34,11,23,26,92,52,2
40,César Azpilicueta,es ESP,DF,Chelsea,32,17.0,43,25,23,15,5,37,22,26,5,21,19,62,54,1
41,Benoît Badiashile,fr FRA,DF,Chelsea,21,10.1,14,8,10,4,0,14,9,5,2,3,16,30,34,1
42,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,21.9,14,6,6,7,1,20,5,13,0,13,6,20,12,0
43,Stefan Bajcetic,es ESP,MF,Liverpool,17,5.8,9,6,5,3,1,27,8,7,0,7,9,18,4,0
44,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
45,Patrick Bamford,eng ENG,FW,Leeds United,28,16.8,9,6,0,6,3,20,4,12,5,7,5,14,13,0
46,Shandon Baptiste,gd GRN,MF,Brentford,24,6.9,15,9,6,6,3,17,7,10,2,8,7,22,10,0
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,30.1,26,14,8,14,4,42,14,32,1,31,8,34,12,0
48,Gavin Bazunu,ie IRL,GK,Southampton,20,32.0,1,0,1,0,0,1,1,0,0,0,1,2,24,2
49,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,0.2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50,Jan Bednarek,pl POL,DF,Southampton,26,18.6,27,21,20,7,0,16,12,38,27,11,49,76,87,0
51,Jan Bednarek,pl POL,DF,Aston Villa,26,1.1,3,3,0,3,0,1,1,3,1,2,2,5,5,0
52,Donny van de Beek,nl NED,MF,Manchester Utd,25,1.9,0,0,0,0,0,1,0,2,1,1,1,1,1,0
53,Asmir Begović,ba BIH,GK,Everton,35,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,Armel Bella Kotchap,de GER,DF,Southampton,20,20.9,37,17,28,9,0,20,15,29,12,17,44,81,110,0
55,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,23.0,25,15,11,7,7,27,11,23,1,22,9,34,13,0
56,Rodrigo Bentancur,uy URU,MF,Tottenham,25,16.7,45,28,15,21,9,28,16,28,15,13,20,65,22,0
57,Daniel Bentley,eng ENG,GK,Wolves,29,2.0,1,1,1,0,0,1,1,0,0,0,0,1,0,1
58,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,9.9,38,23,18,16,4,30,22,16,4,12,3,41,26,1
59,Owen Bevan,wls WAL,DF,Bournemouth,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,0.2,2,1,2,0,0,1,1,0,0,0,1,3,0,0
61,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,30.7,63,36,21,33,9,40,11,48,8,40,31,94,58,1
62,Yves Bissouma,ml MLI,MF,Tottenham,25,11.2,16,13,6,6,4,7,2,15,6,9,12,28,10,0
63,Willy Boly,ci CIV,DF,Nott'ham Forest,31,7.6,13,6,8,3,2,13,8,13,4,9,12,25,45,0
64,Sven Botman,nl NED,DF,Newcastle Utd,22,34.7,38,24,31,7,0,28,22,44,24,20,34,72,126,2
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,35.9,39,16,14,11,14,58,16,47,9,38,36,75,25,0
66,James Bree,eng ENG,DF,Southampton,24,4.1,5,3,4,1,0,4,3,3,1,2,6,11,11,0
67,Armando Broja,al ALB,FW,Chelsea,20,3.3,4,1,0,3,1,1,1,10,1,9,1,5,1,0
68,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1.9,1,0,1,0,0,1,0,2,0,2,2,3,5,0
69,Lewis Brunt,eng ENG,DF,Leicester City,21,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,26.8,52,23,20,20,12,74,21,20,2,18,20,72,17,0
71,Hugo Bueno,es ESP,DF,Wolves,19,14.6,33,16,23,6,4,33,17,14,1,13,10,43,36,0
72,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,6.3,2,1,1,1,0,22,1,5,2,3,4,6,3,0
73,Dan Burn,eng ENG,DF,Newcastle Utd,30,34.6,60,38,29,23,8,67,34,42,16,26,32,92,120,2
74,Cafú,pt POR,MF,Nott'ham Forest,29,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,Moisés Caicedo,ec ECU,MF,Brighton,20,34.9,100,50,41,47,12,68,40,43,7,36,56,156,31,3
76,Tom Cairney,sct SCO,MF,Fulham,31,11.0,17,6,4,8,5,10,7,18,3,15,5,22,3,0
77,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,10.5,14,10,9,4,1,9,6,15,11,4,15,29,65,1
78,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,12.9,4,2,1,0,3,5,1,5,1,4,3,7,18,0
79,Chem Campbell,wls WAL,"FW,MF",Wolves,19,0.8,2,1,1,1,0,1,0,2,0,2,1,3,0,0
80,João Cancelo,pt POR,DF,Manchester City,28,14.2,29,21,16,9,4,24,17,7,1,6,19,48,9,1
81,Thomas Cannon,ie IRL,FW,Everton,19,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Sergi Canós,es ESP,"FW,DF",Brentford,25,0.9,0,0,0,0,0,2,0,3,1,2,0,0,1,0
83,Diego Carlos,br BRA,DF,Aston Villa,29,2.3,1,0,0,1,0,1,0,2,2,0,1,2,2,0
84,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,3.9,8,8,3,3,2,6,3,6,0,6,6,14,0,0
85,Casemiro,br BRA,MF,Manchester Utd,30,23.6,89,46,43,35,11,92,48,49,11,38,34,123,64,0
86,Matty Cash,pl POL,DF,Aston Villa,24,20.2,55,32,36,15,4,37,26,20,5,15,26,81,43,0
87,Timothy Castagne,be BEL,DF,Leicester City,26,36.2,87,44,53,27,7,84,41,50,13,37,43,130,110,0
88,Jonny Castro,es ESP,DF,Wolves,28,14.0,34,15,23,10,1,37,18,26,5,21,14,48,28,2
89,Julio César Enciso,py PAR,"FW,MF",Brighton,18,9.0,13,4,3,6,4,13,8,9,0,9,4,17,2,0
90,Nathaniel Chalobah,eng ENG,MF,Fulham,27,0.1,1,1,1,0,0,1,1,0,0,0,0,1,2,0
91,Trevoh Chalobah,eng ENG,DF,Chelsea,23,17.9,31,20,22,6,3,35,24,17,7,10,24,55,56,1
92,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,3.9,9,6,7,2,0,8,6,5,4,1,7,16,10,1
93,Shea Charles,nir NIR,DF,Manchester City,18,0.3,4,0,4,0,0,1,1,0,0,0,1,5,2,0
94,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,15.6,21,17,12,8,1,25,13,21,2,19,18,39,26,0
95,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,20.4,34,22,10,23,1,49,14,16,4,12,26,60,20,0
96,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,3.9,13,7,7,6,0,5,3,7,0,7,6,19,1,0
97,Bobby Clark,eng ENG,MF,Liverpool,17,0.1,0,0,0,0,0,0,0,2,0,2,0,0,0,0
98,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,18.2,27,16,13,9,5,23,14,22,4,18,19,46,34,0
99,Conor Coady,eng ENG,DF,Everton,29,23.3,14,9,8,6,0,15,7,21,17,4,14,28,88,3
100,Jack Colback,eng ENG,MF,Nott'ham Forest,32,5.5,18,13,12,6,0,8,5,3,0,3,3,21,9,0
101,Séamus Coleman,ie IRL,DF,Everton,33,18.4,35,26,21,10,4,29,19,14,7,7,22,57,58,2
102,Nathan Collins,ie IRL,DF,Wolves,21,20.2,27,15,19,8,0,24,15,35,28,7,21,48,84,0
103,Levi Colwill,eng ENG,DF,Brighton,19,13.6,8,7,4,4,0,9,4,5,3,2,15,23,37,1
104,Lewis Cook,eng ENG,MF,Bournemouth,25,19.1,37,22,10,22,5,42,18,29,10,19,23,60,31,0
105,Steve Cook,eng ENG,DF,Nott'ham Forest,31,10.6,8,4,4,4,0,7,5,16,11,5,12,20,51,0
106,Liam Cooper,sct SCO,DF,Leeds United,30,15.8,38,23,27,9,2,36,23,16,8,8,34,72,57,3
107,Maxwel Cornet,ci CIV,FW,West Ham,25,2.7,7,3,5,0,2,6,4,6,0,6,2,9,3,0
108,Diego Costa,es ESP,FW,Wolves,33,13.8,3,1,3,0,0,9,2,6,1,5,2,5,17,0
109,Vladimír Coufal,cz CZE,DF,West Ham,29,23.7,58,31,37,15,6,51,36,24,6,18,38,96,70,0
110,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,8.8,19,14,8,8,3,15,9,11,1,10,4,23,2,0
111,Conor Coventry,ie IRL,"MF,FW",West Ham,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Matthew Craig,sct SCO,MF,Tottenham,19,0.2,4,1,2,2,0,0,0,0,0,0,0,4,0,0
113,Aaron Cresswell,eng ENG,DF,West Ham,32,24.8,21,11,12,7,2,31,12,21,11,10,27,48,56,0
114,Marc Cucurella,es ESP,DF,Chelsea,24,18.6,66,33,40,15,11,60,30,28,8,20,16,82,48,1
115,Matheus Cunha,br BRA,FW,Wolves,23,10.7,7,4,0,5,2,10,2,15,3,12,9,16,11,0
116,Patson Daka,zm ZAM,FW,Leicester City,23,13.2,14,8,6,8,0,12,3,14,2,12,7,21,7,0
117,Diogo Dalot,pt POR,DF,Manchester Utd,23,23.9,54,41,40,13,1,45,33,25,7,18,37,91,55,2
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,11.0,31,21,13,13,5,42,15,20,2,18,10,41,14,0
119,Danilo,br BRA,MF,Nott'ham Forest,21,10.8,18,7,7,9,2,25,6,26,6,20,9,27,19,0
120,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1.9,2,0,1,1,0,0,0,1,0,1,0,2,0,0
121,Josh Dasilva,eng ENG,MF,Brentford,23,15.4,18,9,6,6,6,16,6,22,6,16,5,23,7,1
122,David Datro Fofana,ci CIV,FW,Chelsea,19,0.8,3,1,1,1,1,1,1,1,0,1,0,3,0,0
123,Ben Davies,wls WAL,DF,Tottenham,29,25.4,28,11,13,13,2,26,14,17,8,9,18,46,72,0
124,Tom Davies,eng ENG,MF,Everton,24,6.0,15,9,5,9,1,14,7,10,1,9,4,19,7,1
125,Craig Dawson,eng ENG,DF,West Ham,32,8.0,11,7,9,2,0,7,5,9,6,3,6,17,26,0
126,Craig Dawson,eng ENG,DF,Wolves,32,15.7,9,6,6,3,0,7,4,31,23,8,12,21,74,2
127,Kevin De Bruyne,be BEL,MF,Manchester City,31,26.9,28,12,3,12,13,39,14,27,2,25,9,37,10,0
128,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1.2,3,1,2,1,0,1,0,1,0,1,1,4,1,0
129,Leander Dendoncker,be BEL,MF,Aston Villa,27,7.7,19,9,11,6,2,21,11,19,4,15,10,29,12,0
130,Leander Dendoncker,be BEL,MF,Wolves,27,2.4,4,2,0,3,1,3,2,2,0,2,9,13,4,0
131,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,8.0,17,11,5,5,7,17,8,13,1,12,2,19,6,0
132,Halil Dervişoğlu,tr TUR,MF,Brentford,22,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,25.6,53,29,14,34,5,47,19,55,13,42,28,81,21,0
134,Ibrahima Diallo,fr FRA,MF,Southampton,23,9.1,25,15,14,10,1,14,8,11,1,10,6,31,11,0
135,Rúben Dias,pt POR,DF,Manchester City,25,22.2,21,13,10,10,1,18,11,21,13,8,18,39,56,1
136,Luis Díaz,co COL,FW,Liverpool,25,11.1,17,11,4,8,5,15,8,8,0,8,6,23,2,0
137,Eric Dier,eng ENG,DF,Tottenham,28,31.3,30,19,16,12,2,19,9,41,24,17,35,65,112,2
138,Lucas Digne,fr FRA,DF,Aston Villa,29,16.7,30,12,20,9,1,33,20,18,5,13,18,48,45,0
139,Issa Diop,fr FRA,DF,Fulham,25,22.4,28,19,18,9,1,32,17,24,17,7,35,63,86,0
140,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,7.9,19,11,13,5,1,27,11,19,2,17,11,30,7,0
141,Ben Doak,sct SCO,FW,Liverpool,16,0.3,3,2,1,2,0,1,1,1,0,1,0,3,0,0
142,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,7.4,16,10,12,3,1,10,8,11,6,5,8,24,14,1
143,Gabriel Dos Santos,br BRA,DF,Arsenal,24,37.9,48,30,29,15,4,27,18,49,26,23,32,80,125,3
144,Abdoulaye Doucouré,ml MLI,MF,Everton,29,17.0,31,20,9,15,7,37,12,26,3,23,13,44,11,0
145,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,30.8,77,46,40,33,4,52,29,47,13,34,56,133,48,0
146,Flynn Downes,eng ENG,MF,West Ham,23,8.5,16,9,4,10,2,12,6,15,2,13,7,23,6,0
147,Kami Doyle,eng ENG,MF,Southampton,16,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Cody Drameh,eng ENG,DF,Leeds United,20,0.8,5,4,0,4,1,3,2,0,0,0,1,6,1,0
149,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1.7,0,0,0,0,0,1,0,0,0,0,0,0,1,0
150,Shane Duffy,ie IRL,"DF,FW",Fulham,30,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,Lewis Dunk,eng ENG,DF,Brighton,30,36.0,30,19,19,9,2,41,18,37,27,10,34,64,81,1
152,Jhon Durán,co COL,"FW,MF",Aston Villa,18,1.5,2,2,0,1,1,4,1,0,0,0,2,4,2,0
153,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,0.4,1,1,1,0,0,1,0,2,0,2,0,1,0,0
154,Ederson,br BRA,GK,Manchester City,28,35.0,3,1,3,0,0,2,1,0,0,0,1,4,10,2
155,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,20.0,25,13,7,12,6,13,7,17,5,12,3,28,22,0
156,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,6.3,17,10,6,10,1,8,3,7,0,7,6,23,6,0
157,Anthony Elanga,se SWE,FW,Manchester Utd,20,4.7,3,0,0,2,1,2,1,4,0,4,2,5,4,0
158,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,17.9,27,18,6,12,9,36,9,26,1,25,15,42,8,0
159,Mohamed Elneny,eg EGY,MF,Arsenal,30,1.3,1,1,1,0,0,1,1,0,0,0,0,1,0,0
160,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,24.1,46,28,22,20,4,43,19,40,3,37,27,73,37,0
161,Emerson,br BRA,DF,Tottenham,23,19.3,54,33,38,12,4,40,27,17,3,14,18,72,75,0
162,Christian Eriksen,dk DEN,MF,Manchester Utd,30,22.8,22,18,10,7,5,32,10,23,9,14,11,33,20,1
163,Pervis Estupiñán,ec ECU,DF,Brighton,24,29.7,61,31,36,19,6,60,35,30,8,22,37,98,37,1
164,Jonny Evans,nir NIR,DF,Leicester City,34,11.7,13,5,12,1,0,11,7,15,11,4,18,31,51,0
165,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,29.3,42,24,17,18,7,38,18,22,0,22,13,55,10,0
166,Łukasz Fabiański,pl POL,GK,West Ham,37,34.6,2,0,2,0,0,2,1,1,0,1,0,2,10,1
167,Fabinho,br BRA,MF,Liverpool,28,29.7,65,38,18,40,7,62,24,38,11,27,37,102,40,0
168,Wout Faes,be BEL,DF,Leicester City,24,31.0,56,33,28,26,2,44,28,53,37,16,41,97,113,2
169,Felipe,br BRA,DF,Nott'ham Forest,33,15.8,42,23,29,13,0,41,24,34,13,21,36,78,90,0
170,João Félix,pt POR,"FW,MF",Chelsea,22,10.5,14,7,5,6,3,12,4,3,0,3,1,15,1,1
171,Evan Ferguson,ie IRL,FW,Brighton,17,10.6,6,3,1,3,2,7,1,11,1,10,2,8,6,0
172,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,36.8,68,42,24,25,19,71,30,37,5,32,25,93,40,1
173,Enzo Fernández,ar ARG,MF,Chelsea,21,17.2,45,27,25,17,3,56,21,32,2,30,16,61,12,1
174,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,13.5,17,12,2,12,3,21,4,16,1,15,7,24,2,0
175,Junior Firpo,es ESP,DF,Leeds United,25,15.2,47,25,27,15,5,46,24,23,7,16,24,71,40,0
176,Phil Foden,eng ENG,FW,Manchester City,22,20.5,16,10,9,5,2,19,8,25,2,23,5,21,12,0
177,Wesley Fofana,fr FRA,DF,Leicester City,21,2.0,4,2,1,2,1,3,1,1,1,0,9,13,5,0
178,Wesley Fofana,fr FRA,DF,Chelsea,21,13.1,30,18,19,7,4,26,13,17,10,7,20,50,33,2
179,Pablo Fornals,es ESP,"FW,MF",West Ham,26,16.7,30,15,9,12,9,34,13,16,2,14,14,44,9,0
180,Adam Forshaw,eng ENG,MF,Leeds United,30,5.3,12,9,5,7,0,17,7,9,1,8,4,16,2,0
181,Fraser Forster,eng ENG,GK,Tottenham,34,13.5,1,0,1,0,0,0,0,1,0,1,0,1,3,1
182,Tyrese Francois,au AUS,FW,Fulham,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,3.5,2,2,0,0,2,5,2,3,1,2,0,2,3,0
184,Fred,br BRA,MF,Manchester Utd,29,13.9,47,30,24,20,3,38,15,38,2,36,19,66,19,0
185,Ryan Fredericks,eng ENG,DF,Bournemouth,29,5.9,3,2,2,0,1,4,1,7,2,5,1,4,27,0
186,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,24.0,43,23,23,15,5,43,19,36,9,27,29,72,45,0
