,Player,Nation,Pos,Squad,Age,90s_played,Total_Tackle,Tackle_Won,Def3rd_Tackle,Mid3rd_Tackle,Att3rd_Tackle,Dribblers_Attemp_Tackle,Dribblers_Tackle_Won,Ball_Blocked,Shot_Blocked,Pass_Blocked,Intercept,Tackle_Intercept,Clearances,Eror
378,Darwin Núñez,uy URU,FW,Liverpool,23,18.8,11,5,2,4,5,17,4,10,0,10,3,14,13,0
379,Ethan Nwaneri,eng ENG,FW,Arsenal,15,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
380,Christian Nørgaard,dk DEN,MF,Brentford,28,19.6,52,30,21,29,2,48,18,32,9,23,34,86,41,2
381,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,6.5,16,9,4,11,1,12,6,13,2,11,5,21,9,0
382,Odeluga Offiah,eng ENG,DF,Brighton,19,0.3,1,1,1,0,0,2,0,0,0,0,0,1,1,0
383,Angelo Ogbonna,it ITA,DF,West Ham,34,13.7,11,4,7,4,0,10,5,11,7,4,17,28,74,1
384,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,30.5,58,34,28,26,4,60,25,46,1,45,26,84,17,0
385,Robin Olsen,se SWE,GK,Aston Villa,32,3.1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
386,Amadou Onana,be BEL,MF,Everton,20,27.6,72,43,24,42,6,42,30,25,6,19,37,109,39,0
387,Josh Onomah,eng ENG,MF,Fulham,25,0.2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
388,Paul Onuachu,ng NGA,FW,Southampton,28,4.5,3,2,1,1,1,3,1,4,1,3,0,3,4,0
389,Frank Onyeka,ng NGA,MF,Brentford,24,9.4,19,14,11,7,1,25,10,16,3,13,10,29,16,0
390,Mislav Oršić,hr CRO,MF,Southampton,29,0.1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
391,Stefan Ortega,de GER,GK,Manchester City,29,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,13.8,28,15,20,6,2,32,13,20,3,17,13,41,29,1
393,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,3.7,5,4,1,2,2,5,1,5,2,3,1,6,4,0
394,David Ozoh,eng ENG,FW,Crystal Palace,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,João Palhinha,pt POR,MF,Fulham,27,34.5,148,83,59,65,24,135,71,48,5,43,46,194,61,2
396,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,4.1,5,1,0,3,2,5,3,2,1,1,1,6,2,0
397,Emerson Palmieri,it ITA,DF,West Ham,27,14.7,26,14,9,15,2,24,12,17,4,13,15,41,36,0
398,Lucas Paquetá,br BRA,MF,West Ham,24,23.9,71,53,23,36,12,67,27,41,4,37,16,87,31,0
399,Thomas Partey,gh GHA,MF,Arsenal,29,27.6,70,40,20,35,15,52,25,26,5,21,28,98,41,1
400,Nathan Patterson,sct SCO,"DF,MF",Everton,20,14.2,49,24,32,13,4,53,29,24,4,20,15,64,45,0
401,Ben Pearson,eng ENG,MF,Bournemouth,27,3.2,7,3,3,3,1,3,1,4,0,4,2,9,6,0
402,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,0.7,1,1,0,1,0,0,0,0,0,0,0,1,3,0
403,Andreas Pereira,br BRA,MF,Fulham,26,29.9,18,9,3,6,9,33,8,21,3,18,6,24,8,0
404,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,5.0,11,7,8,3,0,17,7,8,2,6,4,15,20,0
405,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,4.2,11,8,5,4,2,19,8,6,0,6,2,13,3,0
406,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,23.4,42,24,25,10,7,47,27,29,7,22,22,64,49,1
407,Romain Perraud,fr FRA,DF,Southampton,24,20.4,54,33,23,23,8,52,28,24,6,18,20,74,42,0
408,Máximo Perrone,ar ARG,MF,Manchester City,19,0.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
409,Cameron Peupion,au AUS,MF,Brighton,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Kalvin Phillips,eng ENG,MF,Manchester City,26,3.3,6,4,3,3,0,10,2,7,3,4,5,11,10,0
411,Nathaniel Phillips,eng ENG,DF,Liverpool,25,0.7,2,1,0,2,0,2,2,0,0,0,2,4,1,0
412,Jordan Pickford,eng ENG,GK,Everton,28,37.0,0,0,0,0,0,1,0,0,0,0,4,4,15,3
413,Ethan Pinnock,jm JAM,DF,Brentford,29,30.0,52,28,33,12,7,24,18,41,31,10,35,87,215,2
414,Daniel Podence,pt POR,"FW,MF",Wolves,26,19.7,27,17,13,9,5,31,6,19,0,19,7,34,6,0
415,Nick Pope,eng ENG,GK,Newcastle Utd,30,36.2,1,0,1,0,0,3,1,0,0,0,0,1,27,2
416,Pedro Porro,es ESP,"DF,MF",Tottenham,22,12.6,25,16,8,15,2,39,14,25,2,23,15,40,24,1
417,Dennis Praet,be BEL,"MF,FW",Leicester City,28,7.2,12,9,5,6,1,11,6,12,2,10,5,17,6,0
418,Isaac Price,nir NIR,MF,Everton,18,0.4,0,0,0,0,0,1,0,1,1,0,0,0,0,0
419,Christian Pulisic,us USA,"FW,DF",Chelsea,23,9.1,11,6,3,6,2,5,3,8,1,7,4,15,4,0
420,Aaron Ramsdale,eng ENG,GK,Arsenal,24,38.0,1,1,1,0,0,1,1,0,0,0,0,1,20,6
421,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,29.3,69,39,23,35,11,69,32,48,8,40,23,92,34,0
422,Marcus Rashford,eng ENG,FW,Manchester Utd,24,32.0,20,10,7,8,5,24,9,31,4,27,7,27,14,0
423,David Raya,es ESP,GK,Brentford,26,38.0,0,0,0,0,0,2,0,1,0,1,1,1,10,3
424,Tim Ream,us USA,DF,Fulham,34,32.2,30,16,15,12,3,26,13,45,24,21,41,71,116,3
425,Nathan Redmond,eng ENG,DF,Southampton,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Harrison Reed,eng ENG,MF,Fulham,27,31.8,44,27,17,21,6,51,16,54,12,42,19,63,36,0
427,Bobby Reid,jm JAM,"FW,DF",Fulham,29,27.5,42,24,14,14,14,36,16,25,3,22,20,62,28,1
428,Declan Rice,eng ENG,MF,West Ham,23,36.4,79,38,44,31,4,50,31,45,15,30,63,142,58,0
429,Chris Richards,us USA,DF,Crystal Palace,22,5.0,9,6,8,1,0,7,5,10,1,9,8,17,31,0
430,Richarlison,br BRA,"MF,FW",Tottenham,25,11.2,21,16,13,5,3,27,12,14,1,13,5,26,10,0
431,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,0.7,2,1,2,0,0,1,0,2,0,2,0,2,4,0
432,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,0.4,1,1,0,1,0,3,1,0,0,0,1,2,0,0
433,Andrew Robertson,sct SCO,DF,Liverpool,28,28.7,38,21,12,16,10,41,21,32,5,27,18,56,50,3
434,Antonee Robinson,us USA,DF,Fulham,24,34.3,62,38,43,15,4,65,44,49,13,36,53,115,83,3
435,Joel Robles,es ESP,GK,Leeds United,32,4.0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
436,Marc Roca,es ESP,MF,Leeds United,25,25.7,66,40,27,34,5,65,20,34,10,24,23,89,24,2
437,Marek Rodák,sk SVK,GK,Fulham,25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
438,Rodri,es ESP,MF,Manchester City,26,32.3,67,41,28,28,11,53,26,40,14,26,33,100,43,1
439,Rodrigo,es ESP,"FW,MF",Leeds United,31,21.5,24,10,2,15,7,19,8,16,4,12,6,30,21,1
440,Mads Roerslev,dk DEN,DF,Brentford,23,12.3,22,12,19,3,0,33,16,14,5,9,9,31,38,0
441,Cristian Romero,ar ARG,DF,Tottenham,24,26.3,68,36,42,24,2,46,29,40,18,22,44,112,102,3
442,Oriol Romeu,es ESP,MF,Southampton,30,0.8,1,0,0,1,0,0,0,1,0,1,1,2,1,0
443,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,5.8,2,2,1,0,1,2,1,0,0,0,1,3,9,0
444,Connor Ronan,ie IRL,MF,Wolves,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Salomón Rondón,ve VEN,FW,Everton,32,1.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
446,Joe Rothwell,eng ENG,MF,Bournemouth,27,11.3,20,13,7,12,1,21,7,14,3,11,9,29,7,0
447,Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,3.0,10,9,5,3,2,8,5,5,0,5,3,13,3,0
448,José Sá,pt POR,GK,Wolves,29,36.0,1,0,1,0,0,1,1,0,0,0,0,1,10,6
449,Marcel Sabitzer,at AUT,MF,Manchester Utd,28,7.0,12,8,3,8,1,11,2,6,2,4,8,20,11,0
450,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,12.4,10,3,3,6,1,11,2,4,0,4,5,15,2,0
451,Bukayo Saka,eng ENG,FW,Arsenal,20,35.3,63,34,22,15,26,44,20,38,0,38,14,77,19,0
452,Mohamed Salah,eg EGY,FW,Liverpool,30,36.6,21,12,4,5,12,26,10,21,0,21,6,27,4,0
453,William Saliba,fr FRA,DF,Arsenal,21,26.8,34,20,23,9,2,18,15,13,10,3,19,53,85,4
454,Mohammed Salisu,gh GHA,DF,Southampton,23,21.9,51,29,33,16,2,34,24,56,25,31,31,82,122,1
455,Albert Sambi Lokonga,be BEL,MF,Arsenal,22,2.2,1,1,0,0,1,2,0,1,0,1,5,6,2,0
456,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,22,6.0,13,10,7,4,2,12,8,8,3,5,7,20,10,0
457,Davinson Sánchez,co COL,DF,Tottenham,26,9.5,24,11,17,6,1,20,14,16,10,6,12,36,41,0
458,Robert Sánchez,es ESP,GK,Brighton,24,23.0,1,0,1,0,0,0,0,0,0,0,3,4,9,2
459,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,18.7,16,10,7,5,4,28,8,25,2,23,7,23,6,0
460,Morgan Sanson,fr FRA,MF,Aston Villa,27,0.1,2,1,1,1,0,1,1,0,0,0,0,2,0,0
461,Pablo Sarabia,es ESP,"FW,MF",Wolves,30,8.5,12,6,4,5,3,15,6,7,0,7,2,14,4,0
462,Jeremy Sarmiento,ec ECU,MF,Brighton,20,2.0,6,3,4,1,1,5,2,2,0,2,1,7,0,0
463,Gianluca Scamacca,it ITA,FW,West Ham,23,10.3,10,5,1,3,6,2,2,3,0,3,4,14,5,0
464,Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,2.0,5,2,3,1,1,5,2,4,0,4,0,5,3,0
465,Kevin Schade,de GER,FW,Brentford,20,8.1,12,8,7,2,3,10,5,7,0,7,4,16,6,0
466,Fabian Schär,ch SUI,DF,Newcastle Utd,30,35.6,47,22,31,13,3,39,24,34,19,15,52,99,139,0
467,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,28.1,66,46,28,29,9,43,22,39,8,31,23,89,38,0
468,Nélson Semedo,pt POR,DF,Wolves,28,29.2,71,42,48,19,4,64,33,42,15,27,29,100,83,2
469,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2.9,1,0,0,0,1,6,1,10,1,9,2,3,4,0
470,Marcos Senesi,ar ARG,DF,Bournemouth,25,27.7,50,35,28,22,0,43,23,38,20,18,43,93,146,2
471,Ryan Sessegnon,eng ENG,DF,Tottenham,22,9.0,16,11,9,7,0,12,6,8,1,7,6,22,17,1
472,Luke Shaw,eng ENG,DF,Manchester Utd,27,28.4,55,36,31,22,2,45,32,51,17,34,36,91,55,2
473,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,0.4,1,0,1,0,0,1,0,1,0,1,0,1,0,0
474,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,6.0,2,1,0,1,1,9,1,7,2,5,5,7,10,1
475,Bernardo Silva,pt POR,"MF,FW",Manchester City,27,24.5,44,23,11,25,8,45,18,23,6,17,16,60,6,0
476,Thiago Silva,br BRA,DF,Chelsea,37,26.1,41,27,24,17,0,31,21,38,29,9,34,75,111,3
477,Ellis Simms,eng ENG,FW,Everton,21,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
478,Luis Sinisterra,co COL,FW,Leeds United,23,9.6,21,14,8,9,4,18,11,11,1,10,8,29,2,0
479,Oliver Skipp,eng ENG,MF,Tottenham,21,16.6,34,17,18,15,1,33,16,17,8,9,17,51,19,1
480,Adam Smith,eng ENG,DF,Bournemouth,31,32.7,49,29,27,19,3,60,29,30,13,17,25,74,81,1
481,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,1.9,1,1,1,0,0,3,1,1,0,1,0,1,2,0
482,Cédric Soares,pt POR,DF,Arsenal,30,0.3,0,0,0,0,0,1,0,1,0,1,0,0,1,0
483,Cédric Soares,pt POR,DF,Fulham,30,2.2,8,5,4,3,1,3,3,3,1,2,1,9,5,0
484,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,31.8,15,9,8,3,4,22,5,26,7,19,6,21,46,0
485,Manor Solomon,il ISR,FW,Fulham,23,6.4,20,12,12,6,2,16,9,8,0,8,5,25,3,0
486,Tomáš Souček,cz CZE,MF,West Ham,27,31.3,77,37,41,29,7,58,28,42,17,25,53,130,71,3
487,Boubakary Soumaré,fr FRA,MF,Leicester City,23,18.1,57,34,29,26,2,43,23,15,4,11,33,90,27,1
488,Harry Souttar,au AUS,DF,Leicester City,23,11.0,15,9,10,5,0,18,7,16,12,4,12,27,45,0
489,Çağlar Söyüncü,tr TUR,DF,Leicester City,26,5.9,14,9,10,4,0,10,7,9,8,1,7,21,30,0
490,Djed Spence,eng ENG,"FW,DF",Tottenham,21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Jack Stacey,eng ENG,DF,Bournemouth,26,3.3,5,4,3,1,1,5,2,3,1,2,5,10,15,0
492,Junior Stanislas,eng ENG,MF,Bournemouth,32,0.7,0,0,0,0,0,0,0,2,1,1,0,0,0,0
493,Jay Stansfield,eng ENG,FW,Fulham,19,1.0,0,0,0,0,0,2,0,4,1,3,1,1,1,0
494,Jason Steele,eng ENG,GK,Brighton,31,15.0,0,0,0,0,0,1,0,0,0,0,0,0,6,1
495,Jack Stephens,eng ENG,DF,Southampton,28,0.5,2,2,2,0,0,1,1,1,1,0,1,3,2,0
496,Jack Stephens,eng ENG,DF,Bournemouth,28,13.0,15,11,10,4,1,10,6,23,16,7,16,31,53,0
497,Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,21.0,18,10,5,4,9,14,8,17,0,17,2,20,5,0
498,John Stones,eng ENG,"DF,MF",Manchester City,28,20.5,23,13,11,8,4,10,7,17,10,7,9,32,40,0
499,Pascal Struijk,nl NED,DF,Leeds United,22,24.4,84,57,43,31,10,75,49,32,12,20,32,116,70,1
500,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,10.7,15,9,4,7,4,14,4,16,0,16,6,21,6,0
501,Crysencio Summerville,nl NED,FW,Leeds United,20,15.8,30,20,14,14,2,23,11,20,2,18,13,43,11,0
502,Sam Surridge,eng ENG,FW,Nott'ham Forest,24,3.6,5,0,1,3,1,4,1,5,2,3,0,5,7,0
503,Japhet Tanganga,eng ENG,DF,Tottenham,23,1.6,3,2,3,0,0,5,1,1,0,1,2,5,8,0
504,Matt Targett,eng ENG,DF,Newcastle Utd,26,6.8,13,10,8,3,2,24,9,8,3,5,9,22,16,0
505,James Tarkowski,eng ENG,DF,Everton,29,38.0,51,26,36,13,2,38,20,99,78,21,51,102,201,3
506,Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,23,19.4,33,22,19,11,3,32,11,25,4,21,9,42,23,0
507,Tetê,br BRA,FW,Leicester City,22,8.2,14,8,5,7,2,21,6,9,0,9,2,16,3,0
508,Kenny Tete,nl NED,DF,Fulham,26,28.5,83,46,41,29,13,50,38,48,17,31,52,135,81,1
509,Luke Thomas,eng ENG,DF,Leicester City,21,11.9,23,19,15,5,3,32,15,20,4,16,27,50,35,0
510,Youri Tielemans,be BEL,MF,Leicester City,25,26.0,66,39,27,30,9,61,23,35,8,27,28,94,24,1
511,Kieran Tierney,sct SCO,DF,Arsenal,25,8.8,20,11,9,9,2,16,12,8,2,6,11,31,25,0
512,Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,10.4,17,8,10,4,3,14,10,16,8,8,10,27,33,0
513,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,7.4,27,18,12,10,5,18,13,7,0,7,14,41,15,1
514,James Tomkins,eng ENG,DF,Crystal Palace,33,3.8,4,2,2,1,1,3,1,3,2,1,5,9,19,0
515,Ivan Toney,eng ENG,FW,Brentford,26,32.8,23,13,4,9,10,23,7,24,9,15,14,37,36,0
516,Adama Traoré,es ESP,"FW,MF",Wolves,26,16.6,14,7,7,4,3,9,4,8,1,7,3,17,17,0
517,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,2.6,1,1,1,0,0,4,1,5,0,5,2,3,0,0
518,Boubacar Traoré,ml MLI,MF,Wolves,20,4.6,12,5,4,5,3,7,3,4,2,2,7,19,1,0
519,Mark Travers,ie IRL,GK,Bournemouth,23,11.5,0,0,0,0,0,0,0,1,0,1,0,0,6,0
520,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,37.1,71,49,36,27,8,90,46,45,15,30,43,114,84,2
521,Leandro Trossard,be BEL,FW,Arsenal,27,10.3,12,7,4,2,6,18,6,18,0,18,6,18,3,1
522,Leandro Trossard,be BEL,"FW,MF",Brighton,27,14.6,10,6,7,1,2,8,1,17,0,17,6,16,1,0
523,Kostas Tsimikas,gr GRE,DF,Liverpool,26,8.6,14,9,10,2,2,16,10,8,1,7,12,26,15,0
524,Deniz Undav,de GER,"FW,MF",Brighton,26,7.0,7,4,2,2,3,8,2,4,1,3,0,7,1,0
525,Yan Valery,tn TUN,DF,Southampton,23,0.5,0,0,0,0,0,0,0,1,0,1,0,0,3,0
526,Virgil van Dijk,nl NED,DF,Liverpool,31,31.5,27,14,13,11,3,19,8,24,16,8,31,58,138,3
527,Raphaël Varane,fr FRA,DF,Manchester Utd,29,21.2,24,9,18,6,0,17,7,24,17,7,11,35,91,0
528,Jamie Vardy,eng ENG,FW,Leicester City,35,20.6,10,5,4,3,3,7,1,17,3,14,2,12,30,0
529,Joël Veltman,nl NED,DF,Brighton,30,24.3,62,32,44,14,4,57,37,27,8,19,19,81,51,0
530,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,5.7,6,4,3,0,3,5,3,5,0,5,4,10,2,0
531,Matías Viña,uy URU,DF,Bournemouth,24,5.1,19,11,9,8,2,30,14,13,1,12,4,23,22,0
532,Rúben Vinagre,pt POR,"DF,MF",Everton,23,0.3,2,2,1,1,0,2,1,0,0,0,0,2,1,0
533,Carlos Vinícius,br BRA,FW,Fulham,27,12.3,4,1,0,2,2,4,0,7,0,7,0,4,10,0
534,Theo Walcott,eng ENG,"FW,MF",Southampton,33,12.5,13,6,8,4,1,27,8,8,1,7,9,22,7,0
535,Kyle Walker,eng ENG,DF,Manchester City,32,21.8,13,9,8,5,0,24,4,12,2,10,18,31,22,0
536,Kyle Walker-Peters,eng ENG,DF,Southampton,25,29.4,61,32,34,24,3,43,22,47,8,39,27,88,52,0
537,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,15.9,40,25,20,17,3,25,23,24,8,16,22,62,41,0
538,Danny Ward,wls WAL,GK,Leicester City,29,26.0,1,1,1,0,0,3,1,0,0,0,0,1,14,2
539,Joel Ward,eng ENG,DF,Crystal Palace,32,25.1,50,36,30,11,9,41,30,32,16,16,25,75,80,1
540,James Ward-Prowse,eng ENG,MF,Southampton,27,37.5,65,37,31,27,7,61,21,30,10,20,55,120,48,0
541,Ollie Watkins,eng ENG,FW,Aston Villa,26,34.7,19,13,3,13,3,27,10,21,4,17,10,29,39,0
542,Adam Webster,eng ENG,DF,Brighton,27,22.1,22,12,10,9,3,19,11,30,19,11,19,41,55,4
543,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,8.9,11,5,6,1,4,9,2,7,2,5,7,18,9,0
544,Danny Welbeck,eng ENG,FW,Brighton,31,20.6,15,7,0,7,8,11,4,24,2,22,5,20,20,0
545,Ben White,eng ENG,DF,Arsenal,24,33.9,60,31,23,30,7,70,42,47,11,36,22,82,79,1
546,Harvey White,eng ENG,MF,Tottenham,20,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
547,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
548,Neco Williams,wls WAL,DF,Nott'ham Forest,21,20.9,72,47,49,17,6,71,38,33,8,25,33,105,48,0
549,Willian,br BRA,FW,Fulham,33,23.6,13,8,8,3,2,25,7,13,0,13,9,22,9,0
550,Joe Willock,eng ENG,MF,Newcastle Utd,22,28.4,51,30,13,26,12,58,25,54,8,46,25,76,17,0
551,Callum Wilson,eng ENG,FW,Newcastle Utd,30,20.9,9,3,0,8,1,3,0,8,0,8,1,10,5,0
552,Harry Wilson,wls WAL,FW,Fulham,25,12.2,21,13,9,9,3,18,8,17,2,15,6,27,14,0
553,Yoane Wissa,cd COD,FW,Brentford,25,17.8,17,12,4,7,6,13,6,10,0,10,6,23,15,0
554,Maximilian Wöber,at AUT,DF,Leeds United,24,14.1,25,18,9,15,1,24,16,32,14,18,27,52,67,1
555,Chris Wood,nz NZL,FW,Newcastle Utd,30,5.0,5,4,0,3,2,5,3,2,2,0,1,6,7,0
556,Chris Wood,nz NZL,FW,Nott'ham Forest,30,4.1,0,0,0,0,0,1,0,2,1,1,1,1,2,0
557,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,24.7,53,25,39,12,2,35,25,33,23,10,26,79,111,1
558,Granit Xhaka,ch SUI,MF,Arsenal,29,33.3,34,27,11,18,5,41,16,28,10,18,15,49,45,1
559,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,20.4,38,19,19,16,3,22,14,26,8,18,10,48,44,0
560,Ashley Young,eng ENG,DF,Aston Villa,37,22.6,50,27,34,15,1,49,37,25,11,14,21,71,65,0
561,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,3.3,4,2,4,0,0,7,3,7,2,5,3,7,14,0
562,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,25.4,32,20,12,12,8,21,8,21,1,20,16,48,9,0
563,Denis Zakaria,ch SUI,MF,Chelsea,25,4.6,9,5,5,2,2,8,2,4,1,3,3,12,10,0
564,Jordan Zemura,zw ZIM,DF,Bournemouth,22,16.2,39,24,24,14,1,43,23,31,9,22,16,55,32,0
565,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,23.5,40,18,14,17,9,40,21,20,2,18,22,62,38,2
566,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,7.3,20,12,12,5,3,9,4,8,0,8,5,25,5,1
567,Kurt Zouma,fr FRA,DF,West Ham,27,22.1,9,4,4,5,0,8,5,17,14,3,30,39,120,1
568,Martin Ødegaard,no NOR,MF,Arsenal,23,34.7,36,23,12,14,10,47,14,20,5,15,6,42,12,1
