,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
379,Ethan Nwaneri,eng ENG,FW,Arsenal,15,0.0,0,0,0,0,0,0,0
380,Christian Nørgaard,dk DEN,MF,Brentford,28,19.6,812,608,11,787,19,6,11
381,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,6.5,214,166,4,207,7,0,4
382,Odeluga Offiah,eng ENG,DF,Brighton,19,0.3,30,24,0,29,1,0,0
383,Angelo Ogbonna,it ITA,DF,West Ham,34,13.7,415,332,2,406,9,0,0
384,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,30.5,1420,985,49,1189,229,21,242
385,Robin Olsen,se SWE,GK,Aston Villa,32,3.1,131,74,1,89,40,1,0
386,Amadou Onana,be BEL,MF,Everton,20,27.6,980,816,6,970,6,7,5
387,Josh Onomah,eng ENG,MF,Fulham,25,0.2,6,4,1,6,0,0,0
388,Paul Onuachu,ng NGA,FW,Southampton,28,4.5,91,55,4,90,1,2,0
389,Frank Onyeka,ng NGA,MF,Brentford,24,9.4,257,193,9,255,1,1,2
390,Mislav Oršić,hr CRO,MF,Southampton,29,0.1,3,2,0,2,1,0,0
391,Stefan Ortega,de GER,GK,Manchester City,29,3.0,167,145,1,152,15,0,0
392,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,13.8,334,210,12,322,10,5,30
393,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,3.7,106,75,4,102,2,3,2
394,David Ozoh,eng ENG,FW,Crystal Palace,17,0.0,3,3,0,3,0,0,0
395,João Palhinha,pt POR,MF,Fulham,27,34.5,1274,1051,15,1222,48,38,3
396,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,4.1,193,167,1,191,2,1,7
397,Emerson Palmieri,it ITA,DF,West Ham,27,14.7,729,572,27,606,121,0,47
398,Lucas Paquetá,br BRA,MF,West Ham,24,23.9,1157,907,28,1075,73,11,22
399,Thomas Partey,gh GHA,MF,Arsenal,29,27.6,1985,1731,20,1923,59,12,9
400,Nathan Patterson,sct SCO,"DF,MF",Everton,20,14.2,649,488,14,503,145,0,39
401,Ben Pearson,eng ENG,MF,Bournemouth,27,3.2,134,108,1,130,4,1,0
402,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,0.7,16,15,0,15,1,0,0
403,Andreas Pereira,br BRA,MF,Fulham,26,29.9,1068,701,39,826,231,21,196
404,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,5.0,322,252,14,259,61,0,16
405,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,4.2,171,118,11,156,14,0,17
406,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,23.4,1121,713,43,895,221,13,196
407,Romain Perraud,fr FRA,DF,Southampton,24,20.4,885,623,41,729,151,0,77
408,Máximo Perrone,ar ARG,MF,Manchester City,19,0.2,21,18,1,20,0,0,0
409,Cameron Peupion,au AUS,MF,Brighton,19,0.1,4,3,0,4,0,0,0
410,Kalvin Phillips,eng ENG,MF,Manchester City,26,3.3,313,289,1,310,2,2,0
411,Nathaniel Phillips,eng ENG,DF,Liverpool,25,0.7,82,71,0,80,2,2,0
412,Jordan Pickford,eng ENG,GK,Everton,28,37.0,1312,749,1,823,484,7,0
413,Ethan Pinnock,jm JAM,DF,Brentford,29,30.0,1149,914,5,1088,57,3,10
414,Daniel Podence,pt POR,"FW,MF",Wolves,26,19.7,663,445,19,609,51,7,56
415,Nick Pope,eng ENG,GK,Newcastle Utd,30,36.2,890,614,1,612,278,3,0
416,Pedro Porro,es ESP,"DF,MF",Tottenham,22,12.6,648,465,29,525,121,4,77
417,Dennis Praet,be BEL,"MF,FW",Leicester City,28,7.2,270,200,15,254,14,0,15
418,Isaac Price,nir NIR,MF,Everton,18,0.4,14,12,0,14,0,0,1
419,Christian Pulisic,us USA,"FW,DF",Chelsea,23,9.1,301,238,8,294,4,0,18
420,Aaron Ramsdale,eng ENG,GK,Arsenal,24,38.0,1111,761,3,872,237,6,0
421,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,29.3,889,728,26,880,3,3,18
422,Marcus Rashford,eng ENG,FW,Manchester Utd,24,32.0,817,627,31,790,22,6,24
423,David Raya,es ESP,GK,Brentford,26,38.0,1640,1054,1,1181,455,19,0
424,Tim Ream,us USA,DF,Fulham,34,32.2,1922,1662,8,1858,59,25,4
425,Nathan Redmond,eng ENG,DF,Southampton,28,0.0,1,0,0,1,0,0,1
426,Harrison Reed,eng ENG,MF,Fulham,27,31.8,1281,988,46,1225,51,4,54
427,Bobby Reid,jm JAM,"FW,DF",Fulham,29,27.5,907,636,35,829,74,2,53
428,Declan Rice,eng ENG,MF,West Ham,23,36.4,2135,1846,26,2060,70,60,44
429,Chris Richards,us USA,DF,Crystal Palace,22,5.0,203,169,1,190,13,0,0
430,Richarlison,br BRA,"MF,FW",Tottenham,25,11.2,279,196,13,270,9,1,16
431,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,0.7,45,34,2,38,7,0,0
432,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,0.4,31,24,3,31,0,0,2
433,Andrew Robertson,sct SCO,DF,Liverpool,28,28.7,2265,1803,41,1883,375,12,195
434,Antonee Robinson,us USA,DF,Fulham,24,34.3,1910,1404,51,1582,327,5,134
435,Joel Robles,es ESP,GK,Leeds United,32,4.0,122,63,0,70,52,0,0
436,Marc Roca,es ESP,MF,Leeds United,25,25.7,1295,978,17,1188,102,10,76
437,Marek Rodák,sk SVK,GK,Fulham,25,2.0,61,29,0,38,23,0,0
438,Rodri,es ESP,MF,Manchester City,26,32.3,2987,2723,21,2943,43,26,6
439,Rodrigo,es ESP,"FW,MF",Leeds United,31,21.5,550,389,9,492,53,10,21
440,Mads Roerslev,dk DEN,DF,Brentford,23,12.3,303,194,21,282,21,0,20
441,Cristian Romero,ar ARG,DF,Tottenham,24,26.3,1606,1407,24,1523,80,20,0
442,Oriol Romeu,es ESP,MF,Southampton,30,0.8,30,28,0,30,0,0,1
443,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,5.8,162,121,10,157,5,1,3
444,Connor Ronan,ie IRL,MF,Wolves,24,0.0,4,3,0,3,1,0,1
445,Salomón Rondón,ve VEN,FW,Everton,32,1.2,29,22,0,28,1,0,0
446,Joe Rothwell,eng ENG,MF,Bournemouth,27,11.3,457,385,6,402,54,2,26
447,Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,3.0,62,31,5,59,2,0,0
448,José Sá,pt POR,GK,Wolves,29,36.0,1200,837,1,854,341,3,0
449,Marcel Sabitzer,at AUT,MF,Manchester Utd,28,7.0,307,237,7,293,9,3,4
450,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,12.4,447,316,17,435,9,3,32
451,Bukayo Saka,eng ENG,FW,Arsenal,20,35.3,1430,1054,62,1297,131,3,172
452,Mohamed Salah,eg EGY,FW,Liverpool,30,36.6,1185,902,40,1146,29,3,38
453,William Saliba,fr FRA,DF,Arsenal,21,26.8,1865,1698,8,1822,43,2,1
454,Mohammed Salisu,gh GHA,DF,Southampton,23,21.9,1196,879,12,1075,115,10,13
455,Albert Sambi Lokonga,be BEL,MF,Arsenal,22,2.2,140,132,1,135,5,1,0
456,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,22,6.0,264,228,2,250,10,1,0
457,Davinson Sánchez,co COL,DF,Tottenham,26,9.5,594,515,10,583,10,1,2
458,Robert Sánchez,es ESP,GK,Brighton,24,23.0,781,604,3,608,168,4,0
459,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,18.7,776,647,28,760,14,3,17
460,Morgan Sanson,fr FRA,MF,Aston Villa,27,0.1,7,5,0,7,0,0,0
461,Pablo Sarabia,es ESP,"FW,MF",Wolves,30,8.5,365,252,15,324,39,3,46
462,Jeremy Sarmiento,ec ECU,MF,Brighton,20,2.0,67,53,1,67,0,0,3
463,Gianluca Scamacca,it ITA,FW,West Ham,23,10.3,177,118,7,173,3,8,1
464,Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,2.0,78,51,5,72,6,2,4
465,Kevin Schade,de GER,FW,Brentford,20,8.1,173,103,11,171,1,0,15
466,Fabian Schär,ch SUI,DF,Newcastle Utd,30,35.6,1846,1423,19,1770,73,34,18
467,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,28.1,900,665,21,854,40,1,16
468,Nélson Semedo,pt POR,DF,Wolves,28,29.2,1499,1211,34,1263,233,1,60
469,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2.9,57,38,2,53,4,1,1
470,Marcos Senesi,ar ARG,DF,Bournemouth,25,27.7,1322,1064,18,1257,56,15,8
471,Ryan Sessegnon,eng ENG,DF,Tottenham,22,9.0,390,280,19,318,72,1,30
472,Luke Shaw,eng ENG,DF,Manchester Utd,27,28.4,2098,1757,37,1792,297,13,89
473,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,0.4,26,19,0,23,3,2,0
474,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,6.0,302,221,1,271,31,6,13
475,Bernardo Silva,pt POR,"MF,FW",Manchester City,27,24.5,1543,1317,27,1468,73,10,75
476,Thiago Silva,br BRA,DF,Chelsea,37,26.1,2042,1856,8,1976,59,15,2
477,Ellis Simms,eng ENG,FW,Everton,21,2.5,62,38,0,62,0,0,1
478,Luis Sinisterra,co COL,FW,Leeds United,23,9.6,339,273,9,336,3,4,7
479,Oliver Skipp,eng ENG,MF,Tottenham,21,16.6,772,660,14,755,12,4,10
480,Adam Smith,eng ENG,DF,Bournemouth,31,32.7,1264,953,29,987,276,2,48
481,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,1.9,85,74,1,81,4,0,5
482,Cédric Soares,pt POR,DF,Arsenal,30,0.3,24,19,0,23,1,0,3
483,Cédric Soares,pt POR,DF,Fulham,30,2.2,186,143,4,157,27,0,24
484,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,31.8,533,363,34,479,52,1,13
485,Manor Solomon,il ISR,FW,Fulham,23,6.4,207,175,4,202,4,0,4
486,Tomáš Souček,cz CZE,MF,West Ham,27,31.3,994,709,28,982,12,6,20
487,Boubakary Soumaré,fr FRA,MF,Leicester City,23,18.1,902,776,19,895,7,2,2
488,Harry Souttar,au AUS,DF,Leicester City,23,11.0,555,448,3,531,19,9,0
489,Çağlar Söyüncü,tr TUR,DF,Leicester City,26,5.9,309,241,2,292,14,5,0
490,Djed Spence,eng ENG,"FW,DF",Tottenham,21,0.1,9,5,2,9,0,0,0
491,Jack Stacey,eng ENG,DF,Bournemouth,26,3.3,130,74,7,106,23,0,10
492,Junior Stanislas,eng ENG,MF,Bournemouth,32,0.7,28,22,1,27,1,1,1
493,Jay Stansfield,eng ENG,FW,Fulham,19,1.0,23,9,3,23,0,0,3
494,Jason Steele,eng ENG,GK,Brighton,31,15.0,541,478,0,471,67,1,0
495,Jack Stephens,eng ENG,DF,Southampton,28,0.5,28,23,0,25,3,0,0
496,Jack Stephens,eng ENG,DF,Bournemouth,28,13.0,543,446,6,538,5,2,2
497,Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,21.0,685,514,33,662,21,0,46
498,John Stones,eng ENG,"DF,MF",Manchester City,28,20.5,1563,1453,10,1496,66,14,6
499,Pascal Struijk,nl NED,DF,Leeds United,22,24.4,1320,1046,26,1065,250,3,21
500,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,10.7,265,189,12,257,6,1,18
501,Crysencio Summerville,nl NED,FW,Leeds United,20,15.8,411,308,15,402,6,1,14
502,Sam Surridge,eng ENG,FW,Nott'ham Forest,24,3.6,81,40,3,77,3,0,3
503,Japhet Tanganga,eng ENG,DF,Tottenham,23,1.6,92,82,0,91,1,0,1
504,Matt Targett,eng ENG,DF,Newcastle Utd,26,6.8,419,326,11,327,91,3,34
505,James Tarkowski,eng ENG,DF,Everton,29,38.0,1633,1322,4,1578,48,18,0
506,Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,23,19.4,724,510,28,623,100,7,93
507,Tetê,br BRA,FW,Leicester City,22,8.2,258,186,10,235,20,4,19
508,Kenny Tete,nl NED,DF,Fulham,26,28.5,1530,1110,48,1176,344,10,99
509,Luke Thomas,eng ENG,DF,Leicester City,21,11.9,654,521,22,519,133,1,9
510,Youri Tielemans,be BEL,MF,Leicester City,25,26.0,1623,1303,38,1517,100,8,45
511,Kieran Tierney,sct SCO,DF,Arsenal,25,8.8,486,362,11,415,67,1,24
512,Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,10.4,387,242,12,313,72,1,29
513,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,7.4,474,384,9,420,53,2,12
514,James Tomkins,eng ENG,DF,Crystal Palace,33,3.8,171,138,3,164,7,0,0
515,Ivan Toney,eng ENG,FW,Brentford,26,32.8,787,468,31,751,29,3,34
516,Adama Traoré,es ESP,"FW,MF",Wolves,26,16.6,494,325,27,491,1,0,81
517,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,2.6,75,59,5,72,2,2,5
518,Boubacar Traoré,ml MLI,MF,Wolves,20,4.6,149,118,2,146,0,0,1
519,Mark Travers,ie IRL,GK,Bournemouth,23,11.5,368,281,0,214,154,0,0
520,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,37.1,2788,1995,50,2061,714,16,393
521,Leandro Trossard,be BEL,FW,Arsenal,27,10.3,452,347,19,402,47,6,55
522,Leandro Trossard,be BEL,"FW,MF",Brighton,27,14.6,529,379,20,498,28,8,35
523,Kostas Tsimikas,gr GRE,DF,Liverpool,26,8.6,618,474,9,470,146,2,85
524,Deniz Undav,de GER,"FW,MF",Brighton,26,7.0,164,122,4,159,4,1,1
525,Yan Valery,tn TUN,DF,Southampton,23,0.5,23,15,1,23,0,0,1
526,Virgil van Dijk,nl NED,DF,Liverpool,31,31.5,2592,2345,9,2492,99,31,1
527,Raphaël Varane,fr FRA,DF,Manchester Utd,29,21.2,1106,954,6,1073,30,4,1
528,Jamie Vardy,eng ENG,FW,Leicester City,35,20.6,263,137,9,239,23,1,7
529,Joël Veltman,nl NED,DF,Brighton,30,24.3,1512,1261,29,1286,219,3,23
530,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,5.7,290,234,7,276,14,0,20
531,Matías Viña,uy URU,DF,Bournemouth,24,5.1,185,140,6,142,43,0,4
532,Rúben Vinagre,pt POR,"DF,MF",Everton,23,0.3,24,15,1,19,5,0,2
533,Carlos Vinícius,br BRA,FW,Fulham,27,12.3,189,119,12,181,7,0,6
534,Theo Walcott,eng ENG,"FW,MF",Southampton,33,12.5,262,180,3,256,6,0,21
535,Kyle Walker,eng ENG,DF,Manchester City,32,21.8,1892,1661,18,1732,158,21,28
536,Kyle Walker-Peters,eng ENG,DF,Southampton,25,29.4,1324,1019,51,1046,274,1,50
537,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,15.9,840,706,22,715,123,2,14
538,Danny Ward,wls WAL,GK,Leicester City,29,26.0,945,708,2,679,261,4,0
539,Joel Ward,eng ENG,DF,Crystal Palace,32,25.1,1223,921,29,1014,208,2,36
540,James Ward-Prowse,eng ENG,MF,Southampton,27,37.5,2176,1716,36,1840,329,14,241
541,Ollie Watkins,eng ENG,FW,Aston Villa,26,34.7,566,391,13,554,9,2,9
542,Adam Webster,eng ENG,DF,Brighton,27,22.1,1715,1514,10,1650,63,6,2
543,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,8.9,207,151,6,206,1,1,0
544,Danny Welbeck,eng ENG,FW,Brighton,31,20.6,442,373,7,416,24,0,0
545,Ben White,eng ENG,DF,Arsenal,24,33.9,2242,1888,27,1951,285,13,57
546,Harvey White,eng ENG,MF,Tottenham,20,0.1,8,3,0,6,2,0,3
547,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2.0,83,61,0,63,20,0,0
548,Neco Williams,wls WAL,DF,Nott'ham Forest,21,20.9,840,533,38,651,182,7,89
549,Willian,br BRA,FW,Fulham,33,23.6,912,712,20,860,49,12,60
550,Joe Willock,eng ENG,MF,Newcastle Utd,22,28.4,951,777,18,922,25,3,51
551,Callum Wilson,eng ENG,FW,Newcastle Utd,30,20.9,242,160,23,234,7,3,6
552,Harry Wilson,wls WAL,FW,Fulham,25,12.2,404,310,16,383,20,3,22
553,Yoane Wissa,cd COD,FW,Brentford,25,17.8,344,238,15,334,7,2,12
554,Maximilian Wöber,at AUT,DF,Leeds United,24,14.1,684,483,10,638,43,2,7
555,Chris Wood,nz NZL,FW,Newcastle Utd,30,5.0,106,66,1,105,1,0,0
556,Chris Wood,nz NZL,FW,Nott'ham Forest,30,4.1,71,43,0,71,0,1,0
557,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,24.7,1157,891,9,1058,97,8,3
558,Granit Xhaka,ch SUI,MF,Arsenal,29,33.3,1632,1382,27,1574,55,6,39
559,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,20.4,592,455,17,526,62,6,8
560,Ashley Young,eng ENG,DF,Aston Villa,37,22.6,1188,897,28,945,235,12,42
561,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,3.3,200,184,0,197,2,0,0
562,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,25.4,650,502,25,628,20,1,39
563,Denis Zakaria,ch SUI,MF,Chelsea,25,4.6,179,158,5,177,2,1,1
564,Jordan Zemura,zw ZIM,DF,Bournemouth,22,16.2,594,423,30,466,127,1,18
565,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,23.5,1911,1652,29,1703,203,12,37
566,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,7.3,400,258,15,349,47,3,66
567,Kurt Zouma,fr FRA,DF,West Ham,27,22.1,831,701,3,801,28,14,0
568,Martin Ødegaard,no NOR,MF,Arsenal,23,34.7,1804,1449,45,1683,110,9,91
