,Player,Nation,Pos,Squad,Age,Match_Play,90s_played,Goals,Assist,Goals_Ass,Goal-Pen,Pen_Kick,xG,NoPen_XG,xAG,Prog_Car,Prog_Pas,Prog_Pas_Rec,Goals90,Asst90,Goal+Pas90,Goal-Pen90,xG90,xA90,NoPen_xG90
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,36,26.4,1,3,4,1,0,3.9,3.9,4.2,43,86,151,0.04,0.11,0.15,0.04,0.15,0.16,0.15
1,George Abbott,eng ENG,MF,Tottenham,16,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Che Adams,sct SCO,FW,Southampton,26,28,22.1,5,3,8,5,0,6.6,6.6,2.8,17,34,115,0.23,0.14,0.36,0.23,0.30,0.13,0.30
3,Tyler Adams,us USA,MF,Leeds United,23,24,24.0,0,0,0,0,0,0.1,0.1,1.4,19,136,20,0.00,0.00,0.00,0.00,0.00,0.06,0.00
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,25,23.2,1,0,1,1,0,0.7,0.7,0.4,16,95,3,0.04,0.00,0.04,0.04,0.03,0.02,0.03
5,Nayef Aguerd,ma MAR,DF,West Ham,26,18,17.7,2,0,2,2,0,2.2,2.2,0.5,2,25,4,0.11,0.00,0.11,0.11,0.13,0.03,0.13
6,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,8,1.0,0,0,0,0,0,0.2,0.2,0.1,1,2,11,0.00,0.00,0.00,0.00,0.15,0.07,0.15
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21,21,12.0,1,0,1,1,0,0.7,0.7,1.0,30,43,76,0.08,0.00,0.08,0.08,0.06,0.08,0.06
8,Kristoffer Ajer,no NOR,DF,Brentford,24,9,8.5,0,0,0,0,0,0.0,0.0,0.0,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Manuel Akanji,ch SUI,DF,Manchester City,27,29,25.4,0,1,1,0,0,1.3,1.3,0.4,24,116,17,0.00,0.04,0.04,0.00,0.05,0.02,0.05
10,Nathan Aké,nl NED,DF,Manchester City,27,26,20.8,1,0,1,1,0,1.6,1.6,0.7,25,140,30,0.05,0.00,0.05,0.05,0.07,0.04,0.07
11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,6,2.6,1,0,1,1,0,0.3,0.3,0.9,4,7,18,0.38,0.00,0.38,0.38,0.13,0.34,0.13
12,Thiago Alcántara,es ESP,MF,Liverpool,31,18,13.9,0,0,0,0,0,0.4,0.4,1.1,13,120,24,0.00,0.00,0.00,0.00,0.03,0.08,0.03
13,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,18,11.4,4,2,6,4,0,1.9,1.9,0.7,20,28,32,0.35,0.17,0.52,0.35,0.17,0.06,0.17
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,37,32.5,2,9,11,2,0,2.4,2.4,11.5,43,235,139,0.06,0.28,0.34,0.06,0.07,0.35,0.07
15,Alisson,br BRA,GK,Liverpool,29,37,37.0,0,1,1,0,0,0.0,0.0,0.3,0,3,0,0.00,0.03,0.03,0.00,0.00,0.01,0.00
16,Dele Alli,eng ENG,MF,Everton,26,2,0.4,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28,34,27.7,11,2,13,11,0,8.0,8.0,3.2,77,124,264,0.40,0.07,0.47,0.40,0.29,0.11,0.29
18,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,31,16.3,9,0,9,8,1,7.0,6.2,1.8,38,37,99,0.55,0.00,0.55,0.49,0.43,0.11,0.38
19,Daniel Amartey,gh GHA,DF,Leicester City,27,20,17.9,0,0,0,0,0,1.1,1.1,0.5,23,66,5,0.00,0.00,0.00,0.00,0.06,0.03,0.06
20,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,1,0.0,0,0,0,0,0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.86,0.00
21,Joachim Andersen,dk DEN,DF,Crystal Palace,26,32,30.9,1,0,1,1,0,1.8,1.8,1.3,16,105,7,0.03,0.00,0.03,0.03,0.06,0.04,0.06
22,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,22,4.6,0,1,1,0,0,1.0,1.0,1.3,23,24,35,0.00,0.22,0.22,0.00,0.22,0.28,0.22
23,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,30,14.0,3,1,4,3,0,2.2,2.2,1.0,31,49,72,0.21,0.07,0.29,0.21,0.16,0.07,0.16
24,Michail Antonio,jm JAM,FW,West Ham,32,33,20.3,5,3,8,5,0,6.6,6.6,1.3,49,27,120,0.25,0.15,0.39,0.25,0.32,0.06,0.32
25,Antony,br BRA,FW,Manchester Utd,22,25,20.0,4,2,6,4,0,6.6,6.6,2.9,95,74,168,0.20,0.10,0.30,0.20,0.33,0.14,0.33
26,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,6,0.5,0,0,0,0,0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Alphonse Areola,fr FRA,GK,West Ham,29,5,3.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Joe Aribo,ng NGA,"MF,FW",Southampton,26,21,13.6,2,0,2,2,0,1.5,1.5,0.8,19,39,64,0.15,0.00,0.15,0.15,0.11,0.06,0.11
29,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,30,14.8,2,1,3,2,0,2.1,2.1,1.3,39,16,70,0.13,0.07,0.20,0.13,0.14,0.09,0.14
30,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,32,15.6,2,1,3,2,0,2.4,2.4,2.2,61,75,88,0.13,0.06,0.19,0.13,0.15,0.14,0.15
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,29,28.5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,15,6.2,1,0,1,1,0,1.5,1.5,0.4,9,3,29,0.16,0.00,0.16,0.16,0.24,0.07,0.24
33,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,3,0.9,0,0,0,0,0,0.1,0.1,0.0,0,0,3,0.00,0.00,0.00,0.00,0.10,0.00,0.10
34,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,24,21.6,1,0,1,1,0,0.8,0.8,1.0,37,71,50,0.05,0.00,0.05,0.05,0.04,0.05,0.04
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,27,15.6,10,1,11,10,0,6.6,6.6,1.1,18,12,55,0.64,0.06,0.71,0.64,0.42,0.07,0.42
36,Yasin Ayari,se SWE,MF,Brighton,18,3,0.7,0,0,0,0,0,0.0,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.03,0.18,0.03
37,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,13,3.5,0,0,0,0,0,1.0,0.3,0.0,3,11,16,0.00,0.00,0.00,0.00,0.30,0.01,0.07
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,38,30.2,4,3,7,4,0,3.2,3.2,3.2,83,63,174,0.13,0.10,0.23,0.13,0.10,0.11,0.10
39,Luke Ayling,eng ENG,DF,Leeds United,30,29,22.8,2,1,3,2,0,3.2,3.2,2.0,28,77,100,0.09,0.04,0.13,0.09,0.14,0.09,0.14
40,César Azpilicueta,es ESP,DF,Chelsea,32,25,17.0,0,0,0,0,0,0.4,0.4,1.1,23,71,81,0.00,0.00,0.00,0.00,0.02,0.07,0.02
41,Benoît Badiashile,fr FRA,DF,Chelsea,21,11,10.1,1,0,1,1,0,1.2,1.2,0.5,11,56,2,0.10,0.00,0.10,0.10,0.12,0.05,0.12
42,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,33,21.9,4,4,8,4,0,5.3,5.3,4.8,85,28,182,0.18,0.18,0.37,0.18,0.24,0.22,0.24
43,Stefan Bajcetic,es ESP,MF,Liverpool,17,11,5.8,1,0,1,1,0,0.8,0.8,0.4,10,24,1,0.17,0.00,0.17,0.17,0.13,0.06,0.13
44,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2,0.3,0,0,0,0,0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Patrick Bamford,eng ENG,FW,Leeds United,28,28,16.8,4,2,6,4,0,8.6,7.0,1.0,17,23,96,0.24,0.12,0.36,0.24,0.51,0.06,0.42
46,Shandon Baptiste,gd GRN,MF,Brentford,24,23,6.9,0,1,1,0,0,0.4,0.4,1.1,8,39,23,0.00,0.15,0.15,0.00,0.05,0.16,0.05
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,34,30.1,13,1,14,13,0,8.9,8.9,3.1,100,79,257,0.43,0.03,0.46,0.43,0.30,0.10,0.30
48,Gavin Bazunu,ie IRL,GK,Southampton,20,32,32.0,0,0,0,0,0,0.0,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,4,0.2,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Jan Bednarek,pl POL,DF,Southampton,26,20,18.6,0,0,0,0,0,0.4,0.4,0.1,8,45,2,0.00,0.00,0.00,0.00,0.02,0.01,0.02
51,Jan Bednarek,pl POL,DF,Aston Villa,26,3,1.1,0,0,0,0,0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Donny van de Beek,nl NED,MF,Manchester Utd,25,7,1.9,0,0,0,0,0,0.1,0.1,0.1,2,6,20,0.00,0.00,0.00,0.00,0.05,0.06,0.05
53,Asmir Begović,ba BIH,GK,Everton,35,1,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Armel Bella Kotchap,de GER,DF,Southampton,20,24,20.9,0,2,2,0,0,1.0,1.0,1.0,9,39,2,0.00,0.10,0.10,0.00,0.05,0.05,0.05
55,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,35,23.0,6,3,9,2,4,7.0,3.9,4.5,109,82,237,0.26,0.13,0.39,0.09,0.31,0.20,0.17
56,Rodrigo Bentancur,uy URU,MF,Tottenham,25,18,16.7,5,2,7,5,0,2.2,2.2,0.8,26,76,19,0.30,0.12,0.42,0.30,0.13,0.05,0.13
57,Daniel Bentley,eng ENG,GK,Wolves,29,2,2.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,12,9.9,0,1,1,0,0,0.1,0.1,0.8,17,31,24,0.00,0.10,0.10,0.00,0.01,0.08,0.01
59,Owen Bevan,wls WAL,DF,Bournemouth,18,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2,0.2,0,0,0,0,0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,36,30.7,7,1,8,7,0,4.9,4.9,3.2,37,80,101,0.23,0.03,0.26,0.23,0.16,0.10,0.16
62,Yves Bissouma,ml MLI,MF,Tottenham,25,23,11.2,0,0,0,0,0,0.2,0.2,0.5,14,62,10,0.00,0.00,0.00,0.00,0.02,0.05,0.02
63,Willy Boly,ci CIV,DF,Nott'ham Forest,31,11,7.6,0,1,1,0,0,0.0,0.0,0.2,1,12,0,0.00,0.13,0.13,0.00,0.01,0.03,0.01
64,Sven Botman,nl NED,DF,Newcastle Utd,22,36,34.7,0,0,0,0,0,2.5,2.5,1.0,8,87,5,0.00,0.00,0.00,0.00,0.07,0.03,0.07
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,38,35.9,6,5,11,5,1,8.9,7.8,7.4,101,72,213,0.17,0.14,0.31,0.14,0.25,0.20,0.22
66,James Bree,eng ENG,DF,Southampton,24,5,4.1,0,0,0,0,0,0.0,0.0,0.2,4,5,12,0.00,0.00,0.00,0.00,0.01,0.06,0.01
67,Armando Broja,al ALB,FW,Chelsea,20,12,3.3,1,0,1,1,0,0.8,0.8,0.1,8,4,17,0.31,0.00,0.31,0.31,0.26,0.02,0.26
68,David Brooks,wls WAL,"FW,MF",Bournemouth,25,6,1.9,0,0,0,0,0,0.3,0.3,0.2,5,11,10,0.00,0.00,0.00,0.00,0.13,0.11,0.13
69,Lewis Brunt,eng ENG,DF,Leicester City,21,1,0.3,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,38,26.8,5,2,7,5,0,6.3,6.3,5.7,60,138,137,0.19,0.07,0.26,0.19,0.24,0.21,0.24
71,Hugo Bueno,es ESP,DF,Wolves,19,21,14.6,0,1,1,0,0,0.2,0.2,1.3,52,39,64,0.00,0.07,0.07,0.00,0.01,0.09,0.01
72,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,13,6.3,1,1,2,1,0,1.4,1.4,0.5,9,13,42,0.16,0.16,0.32,0.16,0.22,0.09,0.22
73,Dan Burn,eng ENG,DF,Newcastle Utd,30,38,34.6,1,0,1,1,0,2.1,2.1,1.3,29,118,46,0.03,0.00,0.03,0.03,0.06,0.04,0.06
74,Cafú,pt POR,MF,Nott'ham Forest,29,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Moisés Caicedo,ec ECU,MF,Brighton,20,37,34.9,1,1,2,1,0,1.7,1.7,2.7,38,219,61,0.03,0.03,0.06,0.03,0.05,0.08,0.05
76,Tom Cairney,sct SCO,MF,Fulham,31,33,11.0,2,0,2,2,0,1.5,1.5,1.4,34,92,57,0.18,0.00,0.18,0.18,0.13,0.13,0.13
77,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,13,10.5,1,0,1,1,0,0.8,0.8,0.0,5,33,0,0.10,0.00,0.10,0.10,0.08,0.00,0.08
78,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,17,12.9,2,1,3,1,1,5.8,5.0,0.8,18,15,56,0.15,0.08,0.23,0.08,0.45,0.06,0.39
79,Chem Campbell,wls WAL,"FW,MF",Wolves,19,5,0.8,0,0,0,0,0,0.1,0.1,0.0,2,4,10,0.00,0.00,0.00,0.00,0.12,0.00,0.12
80,João Cancelo,pt POR,DF,Manchester City,28,17,14.2,2,1,3,2,0,0.8,0.8,0.9,73,106,125,0.14,0.07,0.21,0.14,0.06,0.06,0.06
81,Thomas Cannon,ie IRL,FW,Everton,19,2,0.3,0,0,0,0,0,0.1,0.1,0.5,1,0,2,0.00,0.00,0.00,0.00,0.32,1.95,0.32
82,Sergi Canós,es ESP,"FW,DF",Brentford,25,5,0.9,0,0,0,0,0,0.1,0.1,0.0,4,2,7,0.00,0.00,0.00,0.00,0.09,0.03,0.09
83,Diego Carlos,br BRA,DF,Aston Villa,29,3,2.3,0,0,0,0,0,0.4,0.4,0.0,1,11,0,0.00,0.00,0.00,0.00,0.16,0.02,0.16
84,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,13,3.9,2,0,2,2,0,1.1,1.1,0.1,9,12,26,0.52,0.00,0.52,0.52,0.29,0.03,0.29
85,Casemiro,br BRA,MF,Manchester Utd,30,28,23.6,4,3,7,4,0,3.4,3.4,3.1,14,152,34,0.17,0.13,0.30,0.17,0.14,0.13,0.14
86,Matty Cash,pl POL,DF,Aston Villa,24,26,20.2,0,1,1,0,0,0.2,0.2,0.7,42,75,57,0.00,0.05,0.05,0.00,0.01,0.04,0.01
87,Timothy Castagne,be BEL,DF,Leicester City,26,37,36.2,2,3,5,2,0,2.2,2.2,2.6,39,106,149,0.06,0.08,0.14,0.06,0.06,0.07,0.06
88,Jonny Castro,es ESP,DF,Wolves,28,18,14.0,1,0,1,1,0,0.3,0.3,1.0,24,70,46,0.07,0.00,0.07,0.07,0.02,0.07,0.02
89,Julio César Enciso,py PAR,"FW,MF",Brighton,18,20,9.0,4,2,6,4,0,4.0,4.0,1.7,39,31,74,0.45,0.22,0.67,0.45,0.45,0.19,0.45
90,Nathaniel Chalobah,eng ENG,MF,Fulham,27,4,0.1,0,0,0,0,0,0.1,0.1,0.0,0,0,0,0.00,0.00,0.00,0.00,0.71,0.00,0.71
91,Trevoh Chalobah,eng ENG,DF,Chelsea,23,25,17.9,0,0,0,0,0,0.9,0.9,0.3,17,71,27,0.00,0.00,0.00,0.00,0.05,0.02,0.05
92,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,14,3.9,0,0,0,0,0,0.1,0.1,0.3,6,16,2,0.00,0.00,0.00,0.00,0.03,0.07,0.03
93,Shea Charles,nir NIR,DF,Manchester City,18,1,0.3,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,23,15.6,2,2,4,2,0,1.4,1.4,2.2,43,41,131,0.13,0.13,0.26,0.13,0.09,0.14,0.09
95,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,32,20.4,1,1,2,1,0,2.8,2.8,2.4,39,71,71,0.05,0.05,0.10,0.05,0.14,0.12,0.14
96,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,14,3.9,0,0,0,0,0,0.4,0.4,0.6,21,23,21,0.00,0.00,0.00,0.00,0.10,0.16,0.10
97,Bobby Clark,eng ENG,MF,Liverpool,17,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,22,18.2,0,0,0,0,0,0.0,0.0,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.04,0.00
99,Conor Coady,eng ENG,DF,Everton,29,24,23.3,1,1,2,1,0,0.8,0.8,0.3,4,43,1,0.04,0.04,0.09,0.04,0.04,0.01,0.04
100,Jack Colback,eng ENG,MF,Nott'ham Forest,32,11,5.5,0,0,0,0,0,0.0,0.0,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00
101,Séamus Coleman,ie IRL,DF,Everton,33,23,18.4,1,0,1,1,0,0.4,0.4,0.9,13,61,37,0.05,0.00,0.05,0.05,0.02,0.05,0.02
102,Nathan Collins,ie IRL,DF,Wolves,21,26,20.2,0,0,0,0,0,0.2,0.2,0.1,11,64,5,0.00,0.00,0.00,0.00,0.01,0.00,0.01
103,Levi Colwill,eng ENG,DF,Brighton,19,17,13.6,0,2,2,0,0,1.4,1.4,0.5,16,70,3,0.00,0.15,0.15,0.00,0.10,0.04,0.10
104,Lewis Cook,eng ENG,MF,Bournemouth,25,28,19.1,0,2,2,0,0,0.2,0.2,2.5,9,63,10,0.00,0.10,0.10,0.00,0.01,0.13,0.01
105,Steve Cook,eng ENG,DF,Nott'ham Forest,31,12,10.6,0,0,0,0,0,0.1,0.1,0.6,1,19,0,0.00,0.00,0.00,0.00,0.01,0.05,0.01
106,Liam Cooper,sct SCO,DF,Leeds United,30,18,15.8,1,0,1,1,0,1.0,1.0,0.7,3,47,2,0.06,0.00,0.06,0.06,0.06,0.05,0.06
107,Maxwel Cornet,ci CIV,FW,West Ham,25,14,2.7,0,0,0,0,0,1.3,1.3,0.1,9,5,26,0.00,0.00,0.00,0.00,0.47,0.02,0.47
108,Diego Costa,es ESP,FW,Wolves,33,23,13.8,1,0,1,1,0,3.2,3.2,0.7,19,13,60,0.07,0.00,0.07,0.07,0.23,0.05,0.23
109,Vladimír Coufal,cz CZE,DF,West Ham,29,27,23.7,0,1,1,0,0,0.3,0.3,2.5,53,82,109,0.00,0.04,0.04,0.00,0.01,0.10,0.01
110,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,20,8.8,1,0,1,1,0,1.4,1.4,0.5,18,48,68,0.11,0.00,0.11,0.11,0.16,0.05,0.16
111,Conor Coventry,ie IRL,"MF,FW",West Ham,22,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Matthew Craig,sct SCO,MF,Tottenham,19,1,0.2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Aaron Cresswell,eng ENG,DF,West Ham,32,28,24.8,0,1,1,0,0,0.3,0.3,3.7,35,145,82,0.00,0.04,0.04,0.00,0.01,0.15,0.01
114,Marc Cucurella,es ESP,DF,Chelsea,24,24,18.6,0,2,2,0,0,0.4,0.4,0.6,30,73,65,0.00,0.11,0.11,0.00,0.02,0.03,0.02
115,Matheus Cunha,br BRA,FW,Wolves,23,17,10.7,2,0,2,2,0,2.0,2.0,0.6,16,14,43,0.19,0.00,0.19,0.19,0.19,0.05,0.19
116,Patson Daka,zm ZAM,FW,Leicester City,23,30,13.2,4,4,8,4,0,3.5,3.5,2.8,18,17,82,0.30,0.30,0.61,0.30,0.27,0.21,0.27
117,Diogo Dalot,pt POR,DF,Manchester Utd,23,26,23.9,1,2,3,1,0,2.5,2.5,1.9,46,92,85,0.04,0.08,0.13,0.04,0.10,0.08,0.10
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,26,11.0,0,0,0,0,0,2.6,2.6,1.4,9,44,45,0.00,0.00,0.00,0.00,0.24,0.13,0.24
119,Danilo,br BRA,MF,Nott'ham Forest,21,13,10.8,3,2,5,3,0,1.5,1.5,0.7,13,34,22,0.28,0.18,0.46,0.28,0.14,0.07,0.14
120,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,9,1.9,1,0,1,1,0,0.8,0.8,0.0,5,2,19,0.53,0.00,0.53,0.53,0.41,0.02,0.41
121,Josh Dasilva,eng ENG,MF,Brentford,23,36,15.4,4,2,6,4,0,1.5,1.5,1.5,60,62,69,0.26,0.13,0.39,0.26,0.10,0.09,0.10
122,David Datro Fofana,ci CIV,FW,Chelsea,19,3,0.8,0,0,0,0,0,0.2,0.2,0.1,2,2,9,0.00,0.00,0.00,0.00,0.31,0.17,0.31
123,Ben Davies,wls WAL,DF,Tottenham,29,31,25.4,2,2,4,2,0,1.0,1.0,2.5,39,107,69,0.08,0.08,0.16,0.08,0.04,0.10,0.04
124,Tom Davies,eng ENG,MF,Everton,24,19,6.0,0,0,0,0,0,1.2,1.2,0.2,2,30,13,0.00,0.00,0.00,0.00,0.19,0.03,0.19
125,Craig Dawson,eng ENG,DF,West Ham,32,8,8.0,0,0,0,0,0,0.5,0.5,0.1,0,18,1,0.00,0.00,0.00,0.00,0.06,0.01,0.06
126,Craig Dawson,eng ENG,DF,Wolves,32,17,15.7,1,0,1,1,0,1.0,1.0,0.0,5,44,1,0.06,0.00,0.06,0.06,0.06,0.00,0.06
127,Kevin De Bruyne,be BEL,MF,Manchester City,31,32,26.9,7,16,23,7,0,5.6,5.6,13.7,100,246,245,0.26,0.60,0.86,0.26,0.21,0.51,0.21
128,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,6,1.2,0,0,0,0,0,0.2,0.2,0.3,5,4,11,0.00,0.00,0.00,0.00,0.15,0.25,0.15
129,Leander Dendoncker,be BEL,MF,Aston Villa,27,20,7.7,0,0,0,0,0,0.1,0.1,0.5,1,18,2,0.00,0.00,0.00,0.00,0.01,0.06,0.01
130,Leander Dendoncker,be BEL,MF,Wolves,27,4,2.4,0,0,0,0,0,0.7,0.7,0.0,1,6,3,0.00,0.00,0.00,0.00,0.27,0.02,0.27
131,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,19,8.0,2,2,4,2,0,1.9,1.9,0.6,24,17,63,0.25,0.25,0.50,0.25,0.23,0.07,0.23
132,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.31,0.00,0.31
133,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,31,25.6,2,2,4,2,0,2.4,2.4,3.3,68,132,91,0.08,0.08,0.16,0.08,0.09,0.13,0.09
134,Ibrahima Diallo,fr FRA,MF,Southampton,23,18,9.1,0,0,0,0,0,0.2,0.2,0.1,9,28,6,0.00,0.00,0.00,0.00,0.02,0.01,0.02
135,Rúben Dias,pt POR,DF,Manchester City,25,26,22.2,0,0,0,0,0,1.3,1.3,0.6,14,98,2,0.00,0.00,0.00,0.00,0.06,0.03,0.06
136,Luis Díaz,co COL,FW,Liverpool,25,17,11.1,4,2,6,4,0,2.5,2.5,1.5,39,49,116,0.36,0.18,0.54,0.36,0.22,0.14,0.22
137,Eric Dier,eng ENG,DF,Tottenham,28,33,31.3,2,1,3,2,0,1.6,1.6,1.2,9,87,14,0.06,0.03,0.10,0.06,0.05,0.04,0.05
138,Lucas Digne,fr FRA,DF,Aston Villa,29,28,16.7,1,0,1,1,0,0.4,0.4,1.9,29,57,89,0.06,0.00,0.06,0.06,0.02,0.11,0.02
139,Issa Diop,fr FRA,DF,Fulham,25,25,22.4,1,0,1,1,0,0.3,0.3,0.4,13,70,4,0.04,0.00,0.04,0.04,0.01,0.02,0.01
140,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,16,7.9,0,2,2,0,0,0.2,0.2,0.5,27,19,39,0.00,0.25,0.25,0.00,0.02,0.06,0.02
