,Player,Nation,Pos,Squad,Age,Match_Play,90s_played,Goals,Assist,Goals_Ass,Goal-Pen,Pen_Kick,xG,NoPen_XG,xAG,Prog_Car,Prog_Pas,Prog_Pas_Rec,Goals90,Asst90,Goal+Pas90,Goal-Pen90,xG90,xA90,NoPen_xG90
283,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,30,23.0,2,7,9,2,0,2.6,2.6,4.7,87,67,195,0.09,0.30,0.39,0.09,0.11,0.20,0.11
284,Layvin Kurzawa,fr FRA,DF,Fulham,29,3,1.5,0,0,0,0,0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
285,Adam Lallana,eng ENG,"MF,FW",Brighton,34,16,8.0,2,1,3,2,0,0.9,0.9,1.0,10,33,43,0.25,0.12,0.37,0.25,0.11,0.12,0.11
286,Tariq Lamptey,gh GHA,DF,Brighton,21,20,5.0,0,0,0,0,0,0.2,0.2,0.2,28,26,58,0.00,0.00,0.00,0.00,0.04,0.04,0.04
287,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,10,2.8,1,0,1,1,0,0.5,0.5,0.2,2,19,6,0.36,0.00,0.36,0.36,0.19,0.06,0.19
288,Aymeric Laporte,es ESP,DF,Manchester City,28,12,11.0,0,0,0,0,0,0.5,0.5,0.2,30,85,11,0.00,0.00,0.00,0.00,0.04,0.02,0.04
289,Juan Larios,es ESP,DF,Southampton,18,5,1.7,0,0,0,0,0,0.0,0.0,0.0,10,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
290,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,7,2.4,0,0,0,0,0,0.1,0.1,0.0,0,3,0,0.00,0.00,0.00,0.00,0.04,0.00,0.04
291,Roméo Lavia,be BEL,MF,Southampton,18,29,24.7,1,0,1,1,0,0.4,0.4,0.6,22,102,14,0.04,0.00,0.04,0.04,0.02,0.03,0.02
292,Dexter Lembikisa,jm JAM,DF,Wolves,18,1,0.3,0,0,0,0,0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
293,Mario Lemina,ga GAB,MF,Wolves,28,19,14.4,0,1,1,0,0,0.3,0.3,0.3,6,42,9,0.00,0.07,0.07,0.00,0.02,0.02,0.02
294,Clément Lenglet,fr FRA,DF,Tottenham,27,26,22.4,0,2,2,0,0,1.0,1.0,0.6,33,85,7,0.00,0.09,0.09,0.00,0.04,0.03,0.04
295,Bernd Leno,de GER,GK,Fulham,30,36,36.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
296,Jefferson Lerma,co COL,MF,Bournemouth,27,37,36.1,5,0,5,5,0,2.6,2.6,2.3,22,142,30,0.14,0.00,0.14,0.14,0.07,0.06,0.07
297,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,2,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
298,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,14,10.0,0,0,0,0,0,0.2,0.2,1.5,22,48,26,0.00,0.00,0.00,0.00,0.02,0.15,0.02
299,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,10,3.6,0,1,1,0,0,0.5,0.5,1.2,8,6,39,0.00,0.28,0.28,0.00,0.14,0.35,0.14
300,Victor Lindelöf,se SWE,DF,Manchester Utd,28,20,15.2,0,0,0,0,0,0.3,0.3,0.1,3,36,1,0.00,0.00,0.00,0.00,0.02,0.01,0.02
301,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,17,10.3,0,0,0,0,0,1.0,1.0,0.7,11,33,38,0.00,0.00,0.00,0.00,0.10,0.07,0.10
302,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,2,0.3,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
303,Diego Llorente,es ESP,DF,Leeds United,28,8,7.2,0,0,0,0,0,0.7,0.7,0.0,2,27,1,0.00,0.00,0.00,0.00,0.10,0.00,0.10
304,Hugo Lloris,fr FRA,GK,Tottenham,35,25,24.5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
305,Renan Lodi,br BRA,DF,Nott'ham Forest,24,28,24.6,0,1,1,0,0,1.0,1.0,1.2,24,31,70,0.00,0.04,0.04,0.00,0.04,0.05,0.04
306,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,25,17.1,0,1,1,0,0,0.8,0.8,1.5,56,90,86,0.00,0.06,0.06,0.00,0.05,0.09,0.05
307,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,33,28.0,1,4,5,1,0,3.6,3.6,3.3,21,116,115,0.04,0.14,0.18,0.04,0.13,0.12,0.13
308,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,2,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
309,Douglas Luiz,br BRA,MF,Aston Villa,24,37,32.5,6,6,12,6,0,2.8,2.8,4.4,48,148,35,0.18,0.18,0.37,0.18,0.09,0.14,0.09
310,Saša Lukić,rs SRB,MF,Fulham,25,12,4.6,0,0,0,0,0,0.1,0.1,0.0,8,13,5,0.00,0.00,0.00,0.00,0.03,0.00,0.03
311,Lyanco,br BRA,DF,Southampton,25,21,13.1,1,1,2,1,0,0.6,0.6,0.5,13,35,4,0.08,0.08,0.15,0.08,0.04,0.04,0.04
312,Alexis Mac Allister,ar ARG,MF,Brighton,23,35,32.1,10,2,12,4,6,12.1,7.3,4.3,69,174,77,0.31,0.06,0.37,0.12,0.38,0.13,0.23
313,James Maddison,eng ENG,"MF,FW",Leicester City,25,30,27.6,10,9,19,9,1,8.7,6.6,9.3,77,151,155,0.36,0.33,0.69,0.33,0.31,0.34,0.24
314,Noni Madueke,eng ENG,FW,Chelsea,20,12,7.1,1,0,1,1,0,0.9,0.9,0.5,48,36,100,0.14,0.00,0.14,0.14,0.13,0.07,0.13
315,Harry Maguire,eng ENG,DF,Manchester Utd,29,16,8.5,0,0,0,0,0,0.3,0.3,0.0,8,26,4,0.00,0.00,0.00,0.00,0.04,0.00,0.04
316,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,30,21.3,5,10,15,4,1,5.6,4.8,7.0,78,76,242,0.23,0.47,0.70,0.19,0.26,0.33,0.22
317,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,1,0.1,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
318,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,22,15.6,0,0,0,0,0,0.0,0.0,0.7,15,57,35,0.00,0.00,0.00,0.00,0.00,0.05,0.00
319,Tyrell Malacia,nl NED,DF,Manchester Utd,22,22,15.5,0,0,0,0,0,0.2,0.2,0.7,19,44,33,0.00,0.00,0.00,0.00,0.02,0.04,0.02
320,Orel Mangala,be BEL,MF,Nott'ham Forest,24,27,17.2,1,1,2,1,0,0.6,0.6,0.4,14,43,8,0.06,0.06,0.12,0.06,0.03,0.02,0.03
321,Javier Manquillo,es ESP,DF,Newcastle Utd,28,4,0.4,0,0,0,0,0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
322,Sekou Mara,fr FRA,"FW,MF",Southampton,20,22,6.2,1,2,3,1,0,1.0,1.0,0.8,7,7,27,0.16,0.32,0.49,0.16,0.17,0.12,0.17
323,Solly March,eng ENG,"FW,DF",Brighton,28,33,30.2,7,7,14,7,0,8.1,8.1,8.4,110,135,357,0.23,0.23,0.46,0.23,0.27,0.28,0.27
324,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
325,Marquinhos,br BRA,MF,Arsenal,19,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
326,Anthony Martial,fr FRA,FW,Manchester Utd,26,21,10.9,6,2,8,5,1,6.2,5.5,1.4,18,35,87,0.55,0.18,0.74,0.46,0.58,0.13,0.50
327,Gabriel Martinelli,br BRA,FW,Arsenal,21,36,31.0,15,5,20,15,0,9.3,9.3,9.1,124,94,350,0.48,0.16,0.65,0.48,0.30,0.29,0.30
328,Emiliano Martínez,ar ARG,GK,Aston Villa,29,36,34.9,0,0,0,0,0,0.0,0.0,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00
329,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,27,23.5,1,0,1,1,0,0.5,0.5,0.3,12,83,2,0.04,0.00,0.04,0.04,0.02,0.01,0.02
330,Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,11,2.4,0,1,1,0,0,0.1,0.1,0.3,1,13,0,0.00,0.41,0.41,0.00,0.03,0.14,0.03
331,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,29,8.6,2,0,2,2,0,3.4,3.4,0.6,9,6,43,0.23,0.00,0.23,0.23,0.39,0.07,0.39
332,Joël Matip,cm CMR,DF,Liverpool,30,14,12.1,1,0,1,1,0,0.7,0.7,0.3,28,59,2,0.08,0.00,0.08,0.08,0.06,0.02,0.06
333,Neal Maupay,fr FRA,FW,Everton,25,27,12.4,1,0,1,1,0,4.8,4.8,0.6,8,11,61,0.08,0.00,0.08,0.08,0.39,0.05,0.39
334,Kevin Mbabu,ch SUI,"DF,FW",Fulham,27,6,1.6,0,1,1,0,0,0.0,0.0,0.4,4,8,11,0.00,0.62,0.62,0.00,0.00,0.25,0.00
335,Bryan Mbeumo,cm CMR,FW,Brentford,22,38,32.3,9,8,17,8,1,9.8,9.0,7.6,66,88,235,0.28,0.25,0.53,0.25,0.30,0.23,0.28
336,James McArthur,sct SCO,MF,Crystal Palace,34,4,0.6,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
337,Alex McCarthy,eng ENG,GK,Southampton,32,6,6.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
338,John McGinn,sct SCO,"MF,FW",Aston Villa,27,34,29.9,1,3,4,1,0,2.4,2.4,2.6,34,140,66,0.03,0.10,0.13,0.03,0.08,0.09,0.08
339,Scott McKenna,sct SCO,DF,Nott'ham Forest,25,20,17.5,0,0,0,0,0,0.1,0.1,1.0,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00
340,Weston McKennie,us USA,MF,Leeds United,23,19,16.0,0,1,1,0,0,0.8,0.8,0.7,14,82,33,0.00,0.06,0.06,0.00,0.05,0.04,0.05
341,Dwight McNeil,eng ENG,"FW,MF",Everton,22,36,27.8,7,3,10,7,0,3.5,3.5,6.1,76,69,128,0.25,0.11,0.36,0.25,0.13,0.22,0.13
342,Scott McTominay,sct SCO,MF,Manchester Utd,25,24,12.9,1,0,1,1,0,1.9,1.9,0.6,20,33,19,0.08,0.00,0.08,0.08,0.15,0.04,0.15
343,Ben Mee,eng ENG,DF,Brentford,32,37,36.3,3,1,4,3,0,3.2,3.2,1.3,8,84,14,0.08,0.03,0.11,0.08,0.09,0.04,0.09
344,Edouard Mendy,sn SEN,GK,Chelsea,30,10,9.5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
345,Nampalys Mendy,sn SEN,MF,Leicester City,30,19,8.4,1,0,1,1,0,0.1,0.1,0.0,2,28,4,0.12,0.00,0.12,0.12,0.02,0.00,0.02
346,Chris Mepham,wls WAL,DF,Bournemouth,24,26,24.4,0,0,0,0,0,0.7,0.7,0.2,2,42,1,0.00,0.00,0.00,0.00,0.03,0.01,0.03
347,Illan Meslier,fr FRA,GK,Leeds United,22,34,34.0,0,0,0,0,0,0.1,0.1,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Alex Mighten,eng ENG,FW,Nott'ham Forest,20,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,Lewis Miley,eng ENG,MF,Newcastle Utd,16,1,0.2,0,0,0,0,0,0.1,0.1,0.0,0,0,0,0.00,0.00,0.00,0.00,0.42,0.00,0.42
350,Luka Milivojević,rs SRB,MF,Crystal Palace,31,18,5.7,0,0,0,0,0,0.3,0.3,0.2,2,20,2,0.00,0.00,0.00,0.00,0.06,0.03,0.06
351,James Milner,eng ENG,"MF,DF",Liverpool,36,31,10.1,0,1,1,0,0,0.4,0.4,0.9,21,70,78,0.00,0.10,0.10,0.00,0.04,0.09,0.04
352,Yerry Mina,co COL,DF,Everton,27,7,6.6,2,0,2,2,0,1.5,1.5,0.1,1,13,3,0.30,0.00,0.30,0.30,0.22,0.02,0.22
353,Tyrone Mings,eng ENG,DF,Aston Villa,29,35,35.0,1,2,3,1,0,1.2,1.2,1.4,20,111,7,0.03,0.06,0.09,0.03,0.03,0.04,0.03
354,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22,36,32.1,0,2,2,0,0,0.6,0.6,1.2,23,106,90,0.00,0.06,0.06,0.00,0.02,0.04,0.02
355,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,25,33,25.8,7,5,12,7,0,8.1,8.1,6.4,143,90,260,0.27,0.19,0.47,0.27,0.31,0.25,0.31
356,Aleksandar Mitrović,rs SRB,FW,Fulham,27,24,22.3,14,1,15,10,4,14.9,8.6,2.3,24,44,97,0.63,0.04,0.67,0.45,0.67,0.10,0.39
357,Kieffer Moore,wls WAL,FW,Bournemouth,29,27,14.2,4,0,4,4,0,4.4,4.4,0.3,10,23,56,0.28,0.00,0.28,0.28,0.31,0.02,0.31
358,Andrew Moran,ie IRL,FW,Brighton,18,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
359,Álex Moreno,es ESP,DF,Aston Villa,29,19,14.8,0,3,3,0,0,0.6,0.6,3.0,65,37,122,0.00,0.20,0.20,0.00,0.04,0.21,0.04
360,Mason Mount,eng ENG,"MF,FW",Chelsea,23,24,18.3,3,2,5,3,0,2.0,2.0,3.0,48,98,114,0.16,0.11,0.27,0.16,0.11,0.16,0.11
361,Lucas Moura,br BRA,"MF,DF",Tottenham,29,15,1.7,1,0,1,1,0,0.5,0.5,0.3,4,13,15,0.59,0.00,0.59,0.59,0.32,0.20,0.32
362,João Moutinho,pt POR,MF,Wolves,35,31,19.8,0,2,2,0,0,1.3,1.3,2.6,23,132,32,0.00,0.10,0.10,0.00,0.07,0.13,0.07
363,Divin Mubama,eng ENG,FW,West Ham,17,3,0.4,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00
364,Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,21,15,7.3,0,2,2,0,0,1.9,1.9,0.9,25,20,43,0.00,0.27,0.27,0.00,0.25,0.13,0.25
365,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,36,13.9,4,2,6,4,0,3.3,3.3,2.8,66,57,141,0.29,0.14,0.43,0.29,0.24,0.20,0.24
366,Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,6,2.4,0,1,1,0,0,0.2,0.2,0.5,5,6,17,0.00,0.42,0.42,0.00,0.09,0.20,0.09
367,Vitaliy Mykolenko,ua UKR,DF,Everton,23,34,29.5,0,0,0,0,0,0.5,0.5,1.2,31,100,72,0.00,0.00,0.00,0.00,0.02,0.04,0.02
368,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,17,17.0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
369,Wilfred Ndidi,ng NGA,MF,Leicester City,25,27,18.7,0,0,0,0,0,0.2,0.2,0.1,11,51,7,0.00,0.00,0.00,0.00,0.01,0.00,0.01
370,Reiss Nelson,eng ENG,FW,Arsenal,22,11,2.4,3,2,5,3,0,1.1,1.1,1.4,19,6,34,1.27,0.85,2.12,1.27,0.46,0.58,0.46
371,Neto,br BRA,GK,Bournemouth,33,27,26.5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
372,Pedro Neto,pt POR,"FW,MF",Wolves,22,18,10.7,0,0,0,0,0,1.1,1.1,2.1,37,24,111,0.00,0.00,0.00,0.00,0.10,0.20,0.10
373,Rúben Neves,pt POR,MF,Wolves,25,35,33.5,6,1,7,3,3,5.2,2.8,1.6,28,218,18,0.18,0.03,0.21,0.09,0.15,0.05,0.08
374,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,26,14,12.9,0,0,0,0,0,0.6,0.6,0.1,2,15,3,0.00,0.00,0.00,0.00,0.05,0.01,0.05
375,Rasmus Nissen,dk DEN,DF,Leeds United,25,26,21.8,3,1,4,3,0,0.8,0.8,1.0,15,89,70,0.14,0.05,0.18,0.14,0.04,0.05,0.04
376,Eddie Nketiah,eng ENG,FW,Arsenal,23,30,12.1,4,1,5,4,0,8.2,8.2,1.3,32,15,82,0.33,0.08,0.41,0.33,0.68,0.11,0.68
377,Matheus Nunes,pt POR,MF,Wolves,23,34,27.4,1,1,2,1,0,2.4,2.4,2.2,59,84,129,0.04,0.04,0.07,0.04,0.09,0.08,0.09
378,Darwin Núñez,uy URU,FW,Liverpool,23,29,18.8,9,3,12,9,0,12.1,12.1,5.4,61,29,181,0.48,0.16,0.64,0.48,0.64,0.28,0.64
379,Ethan Nwaneri,eng ENG,FW,Arsenal,15,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
380,Christian Nørgaard,dk DEN,MF,Brentford,28,22,19.6,1,3,4,1,0,1.6,1.6,3.1,4,73,8,0.05,0.15,0.20,0.05,0.08,0.16,0.08
381,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,13,6.5,1,0,1,1,0,0.3,0.3,0.2,13,21,3,0.15,0.00,0.15,0.15,0.05,0.03,0.05
382,Odeluga Offiah,eng ENG,DF,Brighton,19,2,0.3,0,0,0,0,0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
383,Angelo Ogbonna,it ITA,DF,West Ham,34,16,13.7,0,0,0,0,0,0.3,0.3,0.2,0,11,2,0.00,0.00,0.00,0.00,0.02,0.02,0.02
384,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,37,30.5,2,11,13,2,0,2.9,2.9,8.7,111,133,243,0.07,0.36,0.43,0.07,0.09,0.29,0.09
385,Robin Olsen,se SWE,GK,Aston Villa,32,4,3.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,Amadou Onana,be BEL,MF,Everton,20,33,27.6,1,2,3,1,0,3.0,3.0,2.6,27,79,49,0.04,0.07,0.11,0.04,0.11,0.09,0.11
387,Josh Onomah,eng ENG,MF,Fulham,25,2,0.2,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,Paul Onuachu,ng NGA,FW,Southampton,28,11,4.5,0,0,0,0,0,1.3,1.3,0.1,1,7,22,0.00,0.00,0.00,0.00,0.28,0.03,0.28
389,Frank Onyeka,ng NGA,MF,Brentford,24,21,9.4,0,2,2,0,0,1.0,1.0,0.6,9,28,21,0.00,0.21,0.21,0.00,0.11,0.07,0.11
390,Mislav Oršić,hr CRO,MF,Southampton,29,1,0.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
391,Stefan Ortega,de GER,GK,Manchester City,29,3,3.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
392,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,19,13.8,1,3,4,1,0,3.6,3.6,2.5,39,23,87,0.07,0.22,0.29,0.07,0.26,0.18,0.26
393,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,9,3.7,1,0,1,1,0,1.3,1.3,0.9,11,14,28,0.27,0.00,0.27,0.27,0.35,0.23,0.35
394,David Ozoh,eng ENG,FW,Crystal Palace,17,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
395,João Palhinha,pt POR,MF,Fulham,27,35,34.5,3,0,3,3,0,2.9,2.9,0.4,8,101,18,0.09,0.00,0.09,0.09,0.08,0.01,0.08
396,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,14,4.1,0,1,1,0,0,1.2,1.2,0.6,29,13,40,0.00,0.24,0.24,0.00,0.30,0.14,0.30
397,Emerson Palmieri,it ITA,DF,West Ham,27,22,14.7,1,0,1,1,0,0.8,0.8,0.9,39,45,57,0.07,0.00,0.07,0.07,0.05,0.06,0.05
398,Lucas Paquetá,br BRA,MF,West Ham,24,28,23.9,4,3,7,3,1,4.4,3.6,2.5,25,147,63,0.17,0.13,0.29,0.13,0.18,0.10,0.15
399,Thomas Partey,gh GHA,MF,Arsenal,29,33,27.6,3,0,3,3,0,2.2,2.2,1.5,34,231,35,0.11,0.00,0.11,0.11,0.08,0.06,0.08
400,Nathan Patterson,sct SCO,"DF,MF",Everton,20,19,14.2,0,0,0,0,0,0.5,0.5,0.4,16,24,51,0.00,0.00,0.00,0.00,0.03,0.03,0.03
401,Ben Pearson,eng ENG,MF,Bournemouth,27,7,3.2,0,0,0,0,0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.01,0.00,0.01
402,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,4,0.7,0,0,0,0,0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403,Andreas Pereira,br BRA,MF,Fulham,26,33,29.9,4,6,10,3,1,7.3,6.5,5.2,53,121,133,0.13,0.20,0.33,0.10,0.24,0.17,0.22
404,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,10,5.0,1,1,2,1,0,0.1,0.1,0.6,5,27,14,0.20,0.20,0.40,0.20,0.02,0.12,0.02
405,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,8,4.2,0,1,1,0,0,1.1,1.1,1.5,17,20,43,0.00,0.24,0.24,0.00,0.27,0.35,0.27
406,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,34,23.4,1,8,9,1,0,2.6,2.6,6.1,87,61,181,0.04,0.34,0.38,0.04,0.11,0.26,0.11
407,Romain Perraud,fr FRA,DF,Southampton,24,29,20.4,2,2,4,2,0,1.3,1.3,1.9,33,62,122,0.10,0.10,0.20,0.10,0.06,0.09,0.06
408,Máximo Perrone,ar ARG,MF,Manchester City,19,1,0.2,0,0,0,0,0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
409,Cameron Peupion,au AUS,MF,Brighton,19,1,0.1,0,0,0,0,0,0.1,0.1,0.0,0,0,2,0.00,0.00,0.00,0.00,0.90,0.00,0.90
410,Kalvin Phillips,eng ENG,MF,Manchester City,26,12,3.3,0,0,0,0,0,0.3,0.3,0.2,1,18,2,0.00,0.00,0.00,0.00,0.10,0.05,0.10
411,Nathaniel Phillips,eng ENG,DF,Liverpool,25,2,0.7,0,0,0,0,0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.06,0.00,0.06
412,Jordan Pickford,eng ENG,GK,Everton,28,37,37.0,0,1,1,0,0,0.0,0.0,0.1,0,2,0,0.00,0.03,0.03,0.00,0.00,0.00,0.00
413,Ethan Pinnock,jm JAM,DF,Brentford,29,30,30.0,3,0,3,3,0,3.0,3.0,1.0,2,52,16,0.10,0.00,0.10,0.10,0.10,0.03,0.10
414,Daniel Podence,pt POR,"FW,MF",Wolves,26,32,19.7,6,0,6,6,0,3.9,3.9,2.5,43,95,148,0.30,0.00,0.30,0.30,0.20,0.13,0.20
415,Nick Pope,eng ENG,GK,Newcastle Utd,30,37,36.2,0,0,0,0,0,0.0,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,Pedro Porro,es ESP,"DF,MF",Tottenham,22,15,12.6,3,3,6,3,0,1.8,1.8,3.0,34,39,95,0.24,0.24,0.48,0.24,0.15,0.24,0.15
417,Dennis Praet,be BEL,"MF,FW",Leicester City,28,22,7.2,1,0,1,1,0,1.0,1.0,0.5,15,17,42,0.14,0.00,0.14,0.14,0.14,0.06,0.14
418,Isaac Price,nir NIR,MF,Everton,18,1,0.4,0,0,0,0,0,0.0,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00
419,Christian Pulisic,us USA,"FW,DF",Chelsea,23,24,9.1,1,1,2,1,0,1.7,1.7,0.7,35,23,76,0.11,0.11,0.22,0.11,0.18,0.07,0.18
420,Aaron Ramsdale,eng ENG,GK,Arsenal,24,38,38.0,0,0,0,0,0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
421,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,35,29.3,6,7,13,6,0,5.0,5.0,5.1,94,98,119,0.20,0.24,0.44,0.20,0.17,0.17,0.17
422,Marcus Rashford,eng ENG,FW,Manchester Utd,24,35,32.0,17,5,22,17,0,15.4,15.4,3.4,85,88,245,0.53,0.16,0.69,0.53,0.48,0.11,0.48
423,David Raya,es ESP,GK,Brentford,26,38,38.0,0,0,0,0,0,0.1,0.1,0.1,0,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424,Tim Ream,us USA,DF,Fulham,34,33,32.2,1,0,1,1,0,0.3,0.3,0.1,28,142,2,0.03,0.00,0.03,0.03,0.01,0.00,0.01
425,Nathan Redmond,eng ENG,DF,Southampton,28,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
